id,name,party,party_wikipedia,constituency,term,identifier__wikipedia_fo,source
jógvan_a._johannessen,Jógvan A. Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,1994,Jógvan A. Johannessen,
jógvan_durhuus,Jógvan Durhuus,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðurstreymoy,1994,Jógvan Durhuus,
jógvan_i._olsen,Jógvan I. Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1994,Jógvan I. Olsen,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,1994,Jørgen Niclasen,
kjartan_joensen,Kjartan Joensen,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1994,Kjartan Joensen,
kristian_magnussen,Kristian Magnussen,Verkamannafylkingin,Verkamannafylkingin,Suðurstreymoy,1994,Kristian Magnussen,
lasse_klein,Lasse Klein,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Eysturoy,1994,Lasse Klein,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Lisbeth L. Petersen,
maria_hansen,Maria Hansen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,1994,Maria Hansen,
marita_petersen,Marita Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1994,Marita Petersen,
signar_á_brúnni,Signar á Brúnni,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Eysturoy,1994,Signar á Brúnni,
tordur_niclasen,Tordur Niclasen,Miðflokkurin,Miðflokkurin,Eysturoy,1994,Tordur Niclasen,
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1994,Vilhelm Johannesen,
Álvur_zachariasen,Álvur Zachariasen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1994,Álvur Zachariasen,
Óli_breckmann,Óli Breckmann,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1994,Óli Breckmann,
Óli_jacobsen,Óli Jacobsen,Verkamannafylkingin,Verkamannafylkingin,Eysturoy,1994,Óli Jacobsen,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1990,Anfinn Kallsberg,
asbjørn_joensen,Asbjørn Joensen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1990,Asbjørn Joensen,
atli_dam,Atli Dam,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1990,Atli Dam,
birgir_danielsen,Birgir Danielsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Birgir Danielsen,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Edmund Joensen,
finnbogi_arge,Finnbogi Arge,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1990,Finnbogi Arge,
finnbogi_Ísakson,Finnbogi Ísakson,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,1990,Finnbogi Ísakson,
flemming_mikkelsen,Flemming Mikkelsen,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,1990,Flemming Mikkelsen,
frank_davidsen,Frank Davidsen,Javnaðarflokkurin,Javnaðarflokkurin,Vágar,1990,Frank Davidsen,
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1990,Heini O. Heinesen,
helena_dam_á_neystabø,Helena Dam á Neystabø,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,1990,Helena Dam á Neystabø,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Henrik Old,
hergeir_nielsen,Hergeir Nielsen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðuroy,1990,Hergeir Nielsen,
john_petersen_(politikari),John Petersen,Fólkaflokkurin,Fólkaflokkurin,Sandoy,1990,John Petersen (politikari),
jóannes_eidesgaard,Jóannes Eidesgaard,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Jóannes Eidesgaard,
jógvan_a._johannessen,Jógvan A. Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,1990,Jógvan A. Johannessen,
jógvan_i._olsen,Jógvan I. Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Jógvan I. Olsen,
jógvan_sundstein,Jógvan Sundstein,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Jógvan Sundstein,
jørgen_thomsen,Jørgen Thomsen,Javnaðarflokkurin,Javnaðarflokkurin,Eysturoy,1990,Jørgen Thomsen,
lasse_klein,Lasse Klein,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,1990,Lasse Klein,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1990,Lisbeth L. Petersen,
marita_petersen,Marita Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1990,Marita Petersen,
niels_pauli_danielsen,Niels Pauli Danielsen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Norðoyar,1990,Niels Pauli Danielsen,
olaf_olsen,Olaf Olsen,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1990,Olaf Olsen,
signar_á_brúnni,Signar á Brúnni,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Eysturoy,1990,Signar á Brúnni,
svend_aage_ellefsen,Svend Aage Ellefsen,Fólkaflokkurin,Fólkaflokkurin,Vágar,1990,Svend Aage Ellefsen,
sverre_midjord,Sverre Midjord,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Sverre Midjord,
terje_davidsen,Terje Davidsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,1990,Terje Davidsen,
thomas_arabo,Thomas Arabo,Javnaðarflokkurin,Javnaðarflokkurin,Norðurstreymoy,1990,Thomas Arabo,
tordur_niclasen,Tordur Niclasen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Eysturoy,1990,Tordur Niclasen,
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1990,Vilhelm Johannesen,
Óli_breckmann,Óli Breckmann,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Óli Breckmann,
