id,name__ps,name__fr,name__en,name__de,name__ur,name__es,name__fa,name__nl,name__sd,name,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__ps,wikipedia__sd,wikipedia__ur,gender,birth_date,original_wikiname,given_name,wikipedia__enwikiquote,name__it,name__en_gb,identifier__VIAF,name__pnb,wikipedia__pnb,name__ru,name__ar,wikipedia__ar,wikipedia__ru,identifier__freebase,name__bn,name__gu,name__hi,name__id,name__ja,name__ka,name__kn,name__ko,name__ml,name__mr,name__ms,name__sv,name__ta,name__te,name__zh,name__nb,name__pa,name__bg,name__mzn,name__he,name__et,name__fi,name__da,name__tr,name__ne,wikipedia__bg,wikipedia__bn,wikipedia__commons,wikipedia__es,wikipedia__gu,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pa,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__zh,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__NPG,identifier__FAST,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__yo,name__vi,name__sh,name__pt,name__th,name__ca,name__uk,name__nn,name__eu,name__lb,name__pam,name__sr,name__eo,name__el,name__io,name__ks,name__cs,name__en_ca,name__pt_br,name__sa,name__mai,name__be,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__io,wikipedia__ks,wikipedia__lb,wikipedia__mai,wikipedia__nn,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__sa,wikipedia__sh,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,website,identifier__NNDB,facebook,name__az,wikipedia__az,name__oc,name__hu,last_seen
Q17385531,,Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,,,,Sheikh Aftab Ahmed,,Sheikh Aftab Ahmed,,Sheikh Aftab Ahmed,,,,,,male,,Sheikh Aftab Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17385613,,Abdul Hakeem Baloch,Abdul Hakeem Baloch,Abdul Hakeem Baloch,,,,Abdul Hakeem Baloch,,Abdul Hakeem Baloch,,Abdul Hakeem Baloch,,,,,,male,,Abdul Hakeem Baloch,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17388811,,Khurshid Ahmed Shah,Syed Khurshid Ahmed Shah,Syed Khurshid Ahmed Shah,سید خورشید شاہ,,,,,Syed Khurshid Ahmed Shah,,Syed Khurshid Ahmed Shah,,Khurshid Ahmed Shah,,,سید خورشید شاہ,male,1952-04-20,Syed Khurshid Ahmed Shah,Syed,,,,36053004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17484251,,Rafiq Ahmed Jamali,Rafiq Ahmed Jamali,Rafiq Ahmed Jamali,,,,Rafiq Ahmed Jamali,,Rafiq Ahmed Jamali,,Rafiq Ahmed Jamali,,,,,,male,1967-12-25,Rafiq Ahmed Jamali,Rafiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18749680,,Aasiya Nasir,Aasiya Nasir,,,,,Aasiya Nasir,,Aasiya Nasir,,Aasiya Nasir,,,,,,female,1971-07-15,Aasiya Nasir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750148,,Abdul Qahar Khan Wadan,Abdul Qahar Khan Wadan,,,,,Abdul Qahar Khan Wadan,,Abdul Qahar Khan Wadan,,Abdul Qahar Khan Wadan,,,,,,male,,Abdul Qahar Khan Wadan,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750151,,Abdul Rahim Mandokhail,Abdul Rahim Mandokhail,,,,,,,Abdul Rahim Mandokhail,,Abdul Rahim Mandokhail,,,,,,male,,Abdul Rahim Mandokhail,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750164,,Aliya Kamran,Aliya Kamran,,,,,,,Aliya Kamran,,Aliya Kamran,,,,,,female,,Aliya Kamran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750287,,Jam Kamal Khan,Jam Kamal Khan,,,,,,,Jam Kamal Khan,,Jam Kamal Khan,,,,,,male,,Jam Kamal Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750310,,Khalid Hussain Magsi,Khalid Hussain Magsi,,,,,Khalid Hussain Magsi,,Khalid Hussain Magsi,,Khalid Hussain Magsi,,,,,,male,,Khalid Hussain Magsi,Khalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750313,,Kiran Haider,Kiran Haider,,,,,,,Kiran Haider,,Kiran Haider,,,,,,female,,Kiran Haider,Kiran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750351,,Maulana Ameer Zaman,Maulana Ameer Zaman,,,,,Maulana Ameer Zaman,,Maulana Ameer Zaman,,Maulana Ameer Zaman,,,,,,male,,Maulana Ameer Zaman,,,Maulana Ameer Zaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750352,,Maulana Muhammad Khan Sherani,Maulana Muhammad Khan Sherani,,محمد خان شیرانی,,,Maulana Muhammad Khan Sherani,,Maulana Muhammad Khan Sherani,,Maulana Muhammad Khan Sherani,,,,,محمد خان شیرانی,male,,Maulana Muhammad Khan Sherani,,,,Maulana Muhammad Khan Sherani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maulana Muhammad Khan Sherani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750357,,Mir Dostaan Khan Domki,Mir Dostaan Khan Domki,,,,,Mir Dostaan Khan Domki,,Mir Dostaan Khan Domki,,Mir Dostaan Khan Domki,,,,,,male,,Mir Dostaan Khan Domki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750361,,Molana Qamar ud Din,Molana Qamar ud Din,,,,,Molana Qamar ud Din,,Molana Qamar ud Din,,Molana Qamar ud Din,,,,,,male,,Molana Qamar ud Din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750362,,Moulvi Agha Muhammad,Moulvi Agha Muhammad,,,,,Moulvi Agha Muhammad,,Moulvi Agha Muhammad,,Moulvi Agha Muhammad,,,,,,male,,Moulvi Agha Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750368,,Naseema,Naseema,,,,,,,Naseema,,Naseema (politician),,,,,,female,,Naseema (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750536,,Sardar Kamal Khan Bangulzai,Sardar Kamal Khan Bangulzai,,,,,Sardar Kamal Khan Bangulzai,,Sardar Kamal Khan Bangulzai,,Sardar Kamal Khan Bangulzai,,,,,,male,,Sardar Kamal Khan Bangulzai,Sardar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18750565,,Syed Essa Noori,Syed Essa Noori,,,,,Syed Essa Noori,,Syed Essa Noori,,Syed Essa Noori,,,,,,male,,Syed Essa Noori,Syed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763760,,Abdul Majeed Khan,Abdul Majeed Khan,,,,,,,Abdul Majeed Khan,,Abdul Majeed Khan,,,,,,male,,Abdul Majeed Khan,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763766,,Abdul Rehman Khan Kanju,Abdul Rehman Khan Kanju,,,,,Abdul Rehman Khan Kanju,,Abdul Rehman Khan Kanju,,Abdul Rehman Khan Kanju,,,,,,male,,Abdul Rehman Khan Kanju,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763768,,Abdul Waseem,Abdul Waseem,,,,,,,Abdul Waseem,,Abdul Waseem,,,,,,male,1964-10-06,Abdul Waseem,Abdul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763782,,Afzal Khokhar,Afzal Khokhar,,,,,Afzal Khokhar,,Afzal Khokhar,,Afzal Khokhar,,,,,,male,,Afzal Khokhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763792,,Ahsan ur Rehman Mazari,Ahsan ur Rehman Mazari,,,,,,,Ahsan ur Rehman Mazari,,Ehsan ur Rehman Mazari,,,,,,male,,Ahsan ur Rehman Mazari,,,Ahsan ur Rehman Mazari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763793,,Aisha Syed,Aisha Syed,,,,,Aisha Syed,,Aisha Syed,,Aisha Syed (politician),,,,,,female,,Aisha Syed (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763795,,Alam Dad Lalika,Alam Dad Lalika,,,,,,,Alam Dad Lalika,,Alam Dad Lalika,,,,,,male,,Alam Dad Lalika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763798,,Alhaj Shah Gee Gul Afridi,Alhaj Shah Gee Gul Afridi,,,,,,,Alhaj Shah Gee Gul Afridi,,Alhaj Shah Gee Gul Afridi,,,,,,male,,Alhaj Shah Gee Gul Afridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763799,,Ali Gohar Mehr,Ali Gohar Mehr,,,,,,,Ali Gohar Mehr,,Ali Gohar Khan Mahar,,,,,,male,,Ali Gohar Mehr,Ali,,Ali Gohar Mehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763800,,Ali Muhammad Khan,Ali Muhammad Khan,,,,,,,Ali Muhammad Khan,,Ali Muhammad Khan,,,,,,male,1977-11-30,Ali Muhammad Khan,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763808,,Amirullah Marwat,Amirullah Marwat,,,,,,,Amirullah Marwat,,Amirullah Marwat,,,,,,male,,Amirullah Marwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763809,,Amjad Ali Khan,Amjad Ali Khan,,,,,Amjad Ali Khan,,Amjad Ali Khan,,Amjad Ali Khan (politician),,,,,,male,,Amjad Ali Khan (politician),Amjad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763810,,Ammara Khan,Ammara Khan,,,,,Ammara Khan,,Ammara Khan,,Ammara Khan,,,,,,female,,Ammara Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763819,,Aqibullah,Aqibullah,,,,,,,Aqibullah,,Aqibullah,,,,,,male,,Aqibullah,,,Aqibullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763822,,Arifa Khalid Pervaiz,Arifa Khalid Pervaiz,,,,,,,Arifa Khalid Pervaiz,,Arifa Khalid Pervaiz,,,,,,female,,Arifa Khalid Pervaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763823,,Armaghan Subhani,Armaghan Subhani,,,,,,,Armaghan Subhani,,Armaghan Subhani,,,,,,male,,Armaghan Subhani,,,Armaghan Subhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763828,,Asad Sikandar,Asad Sikandar,,,,,Asad Sikandar,,Asad Sikandar,,Asad Sikandar,,,,,,male,,Asad Sikandar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763829,,Asad Ur Rehman,Asad Ur Rehman,,,,,Asad Ur Rehman,,Asad Ur Rehman,,Asad Ur Rehman,,,,,,male,,Asad Ur Rehman,,,Asad Ur Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763830,,Asghar Ali Shah,Asghar Ali Shah,,,,,Asghar Ali Shah,,Asghar Ali Shah,,Asghar Ali Shah,,,,,,male,,Asghar Ali Shah,,,Asghar Ali Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763831,,Ashiq Husain Khan,Ashiq Husain Khan,,,,,,,Ashiq Husain Khan,,Ashiq Husain Khan,,,,,,male,,Ashiq Husain Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763833,,Aslam Bodla,Aslam Bodla,,,,,,,Aslam Bodla,,Aslam Bodla,,,,,,male,,Aslam Bodla,,,Aslam Bodla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763834,,Asma Mamdot,Asma Mamdot,,,,,,,Asma Mamdot,,Asma Mamdot,,,,,,female,,Asma Mamdot,,,Asma Mamdot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763836,,Asyia Naz Tanoli,Asyia Naz Tanoli,,,,,Asyia Naz Tanoli,,Asyia Naz Tanoli,,Asyia Naz Tanoli,,,,,,female,,Asyia Naz Tanoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763842,,Ayesha Raza Farooq,Ayesha Raza Farooq,,,,,Ayesha Raza Farooq,,Ayesha Raza Farooq,,Ayesha Raza Farooq,,,,,,female,,Ayesha Raza Farooq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763843,,Azhar Qayyum,Azhar Qayyum,,,,,,,Azhar Qayyum,,Azhar Qayyum,,,,,,male,,Azhar Qayyum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763862,,Begum Majeeda Wyne,Begum Majeeda Wyne,,,,,Begum Majeeda Wyne,,Begum Majeeda Wyne,,Begum Majeeda Wyne,,,,,,female,,Begum Majeeda Wyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763863,,Begum Tahira Bukhari,Begum Tahira Bukhari,,,,,Begum Tahira Bukhari,,Begum Tahira Bukhari,,Begum Tahira Bukhari,,,,,,female,,Begum Tahira Bukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763868,,Belum Hasnain,Belum Hasnain,,,,,,,Belum Hasnain,,Belum Hasnain,,,,,,female,,Belum Hasnain,,,Belum Hasnain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763875,,Bhawan Das,Bhawan Das,,,,,Bhawan Das,,Bhawan Das,,Bhawan Das,,,,,,male,,Bhawan Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763876,,Bilal Rehman,Bilal Rehman,,,,,,,Bilal Rehman,,Bilal Rehman,,,,,,male,,Bilal Rehman,Bilal,,Bilal Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763878,,Bismillah Khan,Bismillah Khan,,,,,,,Bismillah Khan,,Bismillah Khan (politician),,,,,,male,,Bismillah Khan (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763941,,Chaudhary Khalid Javed,Chaudhary Khalid Javed,,,,,,,Chaudhary Khalid Javed,,Chaudhary Khalid Javed,,,,,,male,,Chaudhary Khalid Javed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763942,,Chaudhry Abid Raza,Chaudhry Abid Raza,,,,,Chaudhry Abid Raza,,Chaudhry Abid Raza,,Chaudhry Abid Raza,,,,,,male,,Chaudhry Abid Raza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q18763943,,Chaudhry Hamid Hameed,Chaudhry Hamid Hameed,,,,,,,Chaudhry Hamid Hameed,,Chaudhry Hamid Hameed,,,,,,male,,Chaudhry Hamid Hameed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
