id,name,gender,summary,image,image_source
199,Madodana Sibanda,male,Gwanda North Member of the National Assembly.,,
200,Abednico Ncube,male,Gwanda South Member of the National Assembly and Minister of State for Matebeleland South Province.,,
201,Andrew Langa,male,"Insiza Member of Parliament & Minister of Sports, Arts and Culture. Former Deputy Minister of Public Service,Labour and Social Welfare.Also Former Deputy Minister of Tourism and Hospitality.",http://www.kuvakazim.com/media_root/images/langa-andrew.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/07/langa-andrew.jpg
202,Malach Nkomo,male,Insiza South Member of the National Assembly,,
203,Obedingwa Mguni,male,Mangwe Member of the National Assembly.,,
204,Never Khanye,male,Matobo North Member of the National Assembly.,,
205,Soul Ncube,male,Matobo South Member of the National Assembly.,,
206,William M. Dhewa,male,Umzingwane Member of the National Assembly.,,
207,Jonathan Moyo,male,"Jonathan Moyo is the Minister of Media, Information and Broadcasting Services.",http://www.kuvakazim.com/media_root/images/jonathan-moyo-.jpg,http://www.newzimbabwe.com/news/images/news_bjonathan-moyo-glasses250.jpg
208,Joseph Made,male,"Minister of Agriculture, Mechanisation and Irrigation",http://www.kuvakazim.com/media_root/images/Joseph_made_1.jpeg,http://www.thezimbabwemail.com/templates/xhtml/add_ons/thumb.php?src=http://www.thezimbabwemail.com/files/made_530125459.jpg&h=300&w=336&q=100&zc=1
209,Lazarus Dokora,male,Lazarus Dokora is the Minister of Primary and Secondary Education.,http://www.kuvakazim.com/media_root/images/Lazarus-Dokora.jpg,http://www.radiodialogue.com/wp-content/uploads/2013/09/Lazarus-Dokora.jpg
210,Oppah Muchinguri,female,Manicaland Province Member of the National Assembly and Minister of Women Affairs and Community Development.,http://www.kuvakazim.com/media_root/images/oppah_muchinguri.jpg,http://zimbabwenewsonline.com/thumbnail.php?file=oppah_muchinguri_389486365.jpg&size=article_medium
213,Eunice Moyo,female,Minister of State for Bulawayo Province,http://www.kuvakazim.com/media_root/images/Cde-Eunice-Moyo-1.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Cde-Eunice-Moyo-1.jpg
215,Robert G. Mugabe,male,Robert Mugabe is the President of Zimbabwe,http://www.kuvakazim.com/media_root/images/Robert_Mugabe.jpg,http://assets-s3.mensjournal.com/img/article/if-you-think-robert-mugabe-hates-only-white-people-you-re-wrong/298_298_if-you-think-robert-mugabe-hates-only-white-people-you-re-wrong.jpg
217,Jacob Mudenda,male,Speaker of the National House of Assembly,http://www.kuvakazim.com/media_root/images/Jacob_Speaker_of_Parly.jpg,http://www.southerneye.co.zw/wp-content/uploads/2013/09/joseph-mudenda-1.png
218,Morgan R. Tsvangirai,male,Morgan Tsvangirai is the President of MDC-T,http://www.kuvakazim.com/media_root/images/Morgan-Tsvangirai.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/Morgan-Tsvangirai.jpg
219,Welshman Ncube,male,Welshman Ncube is the President of Movement for Democratic Change (MDC) & Former Minister of Industry and Commerce (2009-2013),http://www.kuvakazim.com/media_root/images/Welshman-Ncube.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Welshman-Ncube.jpg/220px-Welshman-Ncube.jpg
220,Flora Buka,female,Midlands Province Member of the Senate and Minister of State for Presidential Affairs,http://www.kuvakazim.com/media_root/images/Hon_Flora_Buka.jpg,www.copac.gov.zw
221,Simbarashe Mumbengegwi,male,Minister of Foreign Affairs,http://www.kuvakazim.com/media_root/images/Simbarashe-Mumbengegwi-250.jpg,http://www.newzimbabwe.com/news/images/news_bSimbarashe-Mumbengegwi-250.jpg
222,Miriam Chikukwa,female,Harare Province Member of the Senate and Minister of State for Provincial Affairs for Harare Province.,http://www.kuvakazim.com/media_root/images/Miriam-Chikukwa-300x225.jpg,http://nehandaradio.com/wp-content/uploads/2013/09/Miriam-Chikukwa-300x225.jpg
225,Rossy Mpofu,female,Matebeleland South member of the National Assembly.,,
226,Nomathemba Ndlovu,female,Matebeleland South Province Member of the National Assembly.,,
227,Sipho Dube,female,Matebeleland South Province Member of the National Assembly.,,
228,Priscilla Misihairabwi-Mushonga,female,Matebeleland South Member of the National Assembly and MDC Secretary General.Former Minister of Regional & International Cooperation (2009-2013).,http://www.kuvakazim.com/media_root/images/Priscilla_Misihairabwi_Mushonga.jpg,http://www.newzimbabwe.com/news/images/news_bpriscilla250.jpg
229,Sikhanyisiwe Mpofu,female,Matebeleland North Province Member of the Senate,,
231,Molly Mkandla,female,Matebeleland North Member of the Senate.,,
232,Lwazi Sibanda,female,Matebeleland North Province Member of the Senate.,,
235,Thokozani Khupe,female,MDC-T Party Vice President & Bulawayo Province Member of the National Assembly. Former Deputy Prime Minister (2009-2013),http://www.kuvakazim.com/media_root/images/news_bThokozani-Khupe-250.jpeg,newzimbabwe.com
236,Jane Nicola Watson,female,Bulawayo Province Member of National Assembly,,
237,Gladys Mathe,female,Bulawayo Province Member of National Assembly.,,
238,Dorothy Mathe Ndlovu,female,Bulawayo Province Member of National Assembly.,,
239,Jasmine Toffa,female,Bulawayo Province Member of National Assembly,,
241,Anastancia Ndhlovu,female,Midlands Province member of the Senate. Former Member of the National Assembly for Shurugwi South.,,
242,Tariro Mtingwende,female,Midlands Province Member of the National Assembly.,,
243,Philina Zhou,female,Midlands Province Member of the National Assembly.,,
245,Emma Muzondiwa,female,Midlands Province Member of the National Assembly,,
246,Teti Banda,female,Midlands Province Member of the National Assembly.,,
247,Sabbina Mangwende,female,Harare Province Member of the National Assembly.,,
248,Evelyn Masaiti Muzungu,female,Harare Province Member of the National Assembly,,
249,Josephine Value Chitembwe,female,Harare Province Member of the National Assembly,,
250,Ronia Bunjira,female,Harare Province Member of the National Assembly,,
251,Esther Chikuni,female,Manicaland Province Member of the National Assembly,,
252,Annastazia Nyahwo,female,Manicaland Province Member of the National Assembly.,,
253,Lucia Chitura,female,,,
254,Fanny Chirisa,female,Manicaland Province Member of National Assembly,,
255,Joyce Makonya,female,Manicaland Province Member of the National Assembly,,
256,Getrude Chibagu,female,Mashonaland Central Member of the National Assembly.,,
257,Dorothy Apronia Kadungure,female,Mashonaland Central Province Member of National Assembly.,,
258,Elizabeth Shongedza,female,Mashonaland Central Province Member of National Assembly,,
259,Dorothy Mashonganyika,female,Mashonaland Central Province Member of the National Assembly.,,
260,Tsitsi Gezi,female,Mashonaland Central Member of the House of Aseembly.,,
261,Bacilia Majaya,female,Mashonaland Central Province Member of National Assembly,,
262,Mabel Matirangano Nkatazo,female,Mashonaland East Member of the National Assembly.,,
263,Getrude Hungwa,female,Mashonaland East Province Member of National Asembly,,
264,Mabel Kaundikiza,female,Mashonaland East Province Member of the National Assembly,,
265,Lilian Zemura,female,Mashonaland East Province Member of the National Assembly.,,
266,Roseline Roseweater,female,Mashonaland East member of the National House of Assembly,,
267,Muchaneta Muchenje,female,Mashonaland East Province Member of the National Assembly.,,
268,Goodlucky Kwaramba,female,,,
269,Nomsa Jenifer Mlanga,female,Mashonaland West Province Member of the National Assembly.,,
270,Christina Nyere,female,Mashonaland West Member of the National Assembly,,
271,Constance Tsomondo,female,Mashonaland West Member of National Assembly,,
272,Joan Tsogorani,female,Mashonaland West Province Member of the National Assembly.,,
273,Consilia Chinanzvavana,female,Mashonaland West Province Member of National Assembly,,
274,Anna Rungani,female,Masvingo Province Member of the National Assembly,,
275,Yeukai Simbanegavi,female,Masvingo Province Member of the National Assembly,,
276,Monica Chigudu,female,Masvingo Province Member of the National Assembly.,,
277,Angeline Chipato Memory Munochinzwa,female,Masvingo Province Member of the Senate.,,
278,Judith Muzhavazhe,female,Masvingo Province Member of the National Assembly,,
279,Annah Shiri,female,Member of the Senate representing people living with disabilities.,,
280,Agnes Sibanda,female,Bulawayo Province Member of the Senate.,,
281,Siphiwe Ncube,female,Bulawayo Province Member of the Senate,,
283,Tholakele Khumalo,female,Bulawayo Province Member of the Senate,,
284,Cleveria Chizema,female,Harare Metropolitan Member of the Senate,,
287,Rorana Muchihwa,female,Harare Province Member of the Senate,http://www.kuvakazim.com/media_root/images/Hon_Rorana_Muchihwa.jpg,www.copac.gov.zw
288,Monica Mutsvangwa,female,Manicaland Province Member of the Senate. Chairperson of the Zimbabwe Women's Parliamentary Caucus.,http://www.kuvakazim.com/media_root/images/Hon_Monica_Mutsvangwa.jpg,www.copac.gov.zw
289,Judith Mawire,female,Manicaland Province Member of the Senate.,,
290,Keresencia Chabuka,female,,,
291,Alice Chimbudzi,female,Mashonaland Central Province Member of Senate,,
292,Jenia Manyeruke,female,,,
294,Martha Muronzi,female,Mashonaland Central Province Member of the Senate.,,
296,Rosemary Goto,female,Mashonaland East Member of the Senate.,,
298,Jane Chifamba,female,Mashonaland East Province Member of the Senate,,
300,Virginia Muchenje,female,Mashonaland Province Member of the Senate,,
301,Violet Moeketsi,female,Mashonaland West Province Member of the Senate,,
302,Otilia Muhlawa,female,Masvingo Province Member of the National Assembly.,,
305,Alphina Juba,female,Matebeleland North Province Member of Senate,,
306,Rosemary Nyathi,female,Mashonaland North Province Member of the Senate,,
308,Medelina Bhebhe,female,Mashonaland North Member of the Senate,,
310,Alma Mkhwebu,female,Matebeleland South Province Member of Senate.,,
311,Sithembile Mlotshwa,female,Mashonaland South Province Member of the Senate,,
312,Joyce Ndhlovu,female,Matebeleland South Province Member of the Senate.,,
315,Address Matiirira,female,Mashonaland East Province Member of the Senate.,,
316,Angelina Masuku,female,Senator for Bulawayo Province & Matebeleland South Governor,http://www.kuvakazim.com/media_root/images/masuku-angeline-_1.jpg,Internet
317,Cain G. Mathema,male,Senator and Minister of State for Matebeleland North Province,http://www.kuvakazim.com/media_root/images/Cain-Matema-250_1.jpg,http://www.newzimbabwe.com/news/images/news_bCain-Matema-250.jpg
318,Charles Tawengwa,male,Harare Province Member of the Senate,,
319,Chenhamo C. C. Chimutengwede,male,Mashonaland Central Province Member of the Senate,http://www.kuvakazim.com/media_root/images/Chen-Chimutengwende.jpg,Internet
321,Damian D. E. Mumvuri,male,Mashonaland Central Province Member of the Senate,,
322,Dorothy Tholakele Khumalo,female,Bulawayo Province Member of the Senate,,
323,Dzikamai Calisto Mavhaire,male,Masvigo Province Member of the Senate and Minister of Energy and Power Development,http://www.kuvakazim.com/media_root/images/MAVHAIRE-DZIKAMAI.jpg,http://www.herald.co.zw/wp-content/uploads/2013/10/MAVHAIRE-DZIKAMAI.jpg
324,Edna Madzongwe,female,Senator for Mashonaland West Province and Senate President,http://www.kuvakazim.com/media_root/images/Edina_madzongwe.jpg,http://thezimbabwemirror.com/wp-content/uploads/2013/03/madzongwe.jpg
325,Farirai Ethel Mabhungu,female,Masvingo Province Member of the Senate,,
326,Grace Tsitsi Jadagu,female,Harare Province Member of the Senate,,
327,Herbert M. Sinampande,male,Matebeleland North Province Member of the Senate,,
328,Jaison Max Korerai Machaya,male,Midlands Province Member of the Senate,http://www.kuvakazim.com/media_root/images/Hon-Machaya-Jaison-Max-Kokerai-1.jpg,http://img.thezimbabwean.co.uk/640_808_Hon-Machaya-Jaison-Max-Kokerai-1.jpg
329,James Makore,male,Harare Province Member of the Senate.,,
330,Josiah D. Hungwe,male,Senator and Minister of State for Liaising on Psychomotor Activities in Education Vocational Training,http://www.kuvakazim.com/media_root/images/Josiah_Hungwe_1.jpg,Internet
331,Keresina Chabuka,,,,
332,Kumbirai Kangai,male,Manicaland Province Member of the Senate.,,
333,Lilian Timveos,female,Mdlands Province Member of the Senate.,,
334,Mail Nkomo,male,Matebeleland North Member of the Senate,,
335,Matson M. Hlalo,male,Bulawayo Province Member of the Senate.,,
336,Michael Norman Carter,male,Bulawayo Province Member of the Senate.,,
337,Michael R. Nyambuya,male,Manicaland Province Member of the Senate.,,
338,Mike M. Byton,male,Mashonaland West Province Member of the Senate.,,
339,Misheck Marava,male,Masvingo Province Member of the Senate.,,
340,Mlotshwa Sithembile,female,Matebeleland South member of the Senate.,,
341,Monicah Mavhunga,female,Mashonaland Central Province Member of the Senate.,,
342,Morgen Komichi,male,Midlands Province Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/MorganKomichi.JPG,http://www.swradioafrica.com/faces/MorganKomichi.JPG
343,Muhlava Otilia Maluleke,female,Masvingo Province Member of the Senate.,,
344,Olivia N. Muchena,female,"Mashonaland East Province Member of the Senate and Minister of Higher and Tertiary Education, Science and Technology Development",http://www.kuvakazim.com/media_root/images/Olivia_Muchena_1.jpg,Internet
345,Pagwese David Parirenyatwa,male,Mashonaland East Province Member of the Senate and Minister of Health and Child Care.,http://www.kuvakazim.com/media_root/images/David-Parirenyatwa_1.jpg,Internet
346,Patrick Chitaka,male,Manicaland Province Member of the Senate.,,
347,Prisca Mupfumira,female,Mashonaland West Province Member of the Senate.,,
348,Ruth Mafoko Labode,female,Matebeleland North Member of the Senate.,,
349,Sekai Masikana Holland,female,"Harare Province Member of the Senate & Former Co- Minister of State for National Healing, Reconciliation and Integration (2009-2013)",http://www.kuvakazim.com/media_root/images/sekaiholland.png,http://www.afrikadag.nl/foto/sekaiholland.png
350,Shuvai Ben Mahofa,female,Masvingo Province Member of the Senate,http://www.kuvakazim.com/media_root/images/Shuvai_mahofa.jpg,http://www.swradioafrica.com/faces/Shuvai_mahofa.jpg
351,Sibusisiwe Budha,female,Matebeleland North province Member of the Senate,,
353,Simon K. Moyo,male,"Matebeleland South Province Member of the Senate, ZANU PF National Chairperson and Senior Minister of State.",http://www.kuvakazim.com/media_root/images/Simon-Khaya-Moyo1.jpg,www.talkzimbabwe.com
354,Sydney T. Sekeramayi,male,Mashonaland East Province Member of the Senate and Minister of Defence,http://www.kuvakazim.com/media_root/images/Sekeramai.jpg,http://4.bp.blogspot.com/-sBCY0lVEqkw/UVHUahUMvtI/AAAAAAAAAIw/Z_Hdp7Q428E/s1600/Sekeramai.jpg
355,Tambudzani B. Mohadi,female,Matebeleland South Province Member of the Senate.,http://www.kuvakazim.com/media_root/images/Hon_Tambudzai_B._Mohadi.jpg,www.copac.gov.zw
356,Tapera Machingaifa,male,Mashonaland West Province Member of the Senate,,
357,Thokozile A. Mathuthu,female,Mashonaland North Province Member of the Senate,http://www.kuvakazim.com/media_root/images/Mathuthu.jpg,www.copac.gov.zw
358,Tsitsi V. Muzenda,female,Midlands Province Member of the Senate.,http://www.kuvakazim.com/media_root/images/tsitsi_muzenda.jpg,http://www.chronicle.co.zw/wp-content/uploads/2012/08/tsitsi%20muzenda2-290x175.jpg
359,Watchy Sibanda,male,Matebeleland South Prvince Member of the Senate,,
360,Tionei Melody Dziva,female,Midlands Province Member of the National Assembly.,,
361,Abigail Damasane,female,Matebeleland South Province Member of the National Assembly and Deputy Minister of Women Affairs and Community Development.,http://www.kuvakazim.com/media_root/images/ABIGAIL-DAMASANE-1_1.jpg,Internet
362,Faber Chidarikire,male,Mashonaland West Province Resident Minister,,
