id,name__sv,name__it,name__fr,name__en,name,wikipedia__sv,gender,birth_date,given_name,identifier__Riksdagen,original_wikiname,name__nl,name__de,wikipedia__commons,wikipedia__en,image,name__nb,name__uk,name__da,name__nn,name__fi,name__pl,name__pt,name__ru,wikipedia__da,wikipedia__fi,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__uk,identifier__VIAF,identifier__SELIBR,name__es,wikipedia__de,identifier__freebase,name__sco,name__id,wikipedia__fr,wikipedia__id,wikipedia__sco,identifier__ISNI,identifier__LCAuth,family_name,name__mg,wikipedia__mg,name__af,name__an,name__ar,name__az,name__be,name__bg,name__bn,name__br,name__bs,name__ca,name__cs,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__et,name__gl,name__he,name__hi,name__hu,name__io,name__is,name__ja,name__ka,name__ko,name__la,name__lb,name__lt,name__lv,name__mn,name__mr,name__ms,name__oc,name__pt_br,name__qu,name__se,name__sq,name__sr,name__sw,name__tr,name__vi,name__yo,name__zh,name__hr,name__fa,name__fo,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fiwikiquote,wikipedia__fo,wikipedia__frwikiquote,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__qu,wikipedia__se,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__sw,wikipedia__tr,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__parlement,name__be_tarask,wikipedia__be_x_old,website,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__nds,name__vmf,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__fit,name__ta,name__sh,name__mk,name__hy,name__ur,wikipedia__cswikiquote,wikipedia__hy,wikipedia__sh,wikipedia__ta,wikipedia__ur,facebook,name__gsw,twitter,identifier__BIBSYS,identifier__BNF,name__ie,wikipedia__ie,name__ast,name__bar,name__co,name__cy,name__eu,name__fur,name__ga,name__gd,name__li,name__lij,name__lmo,name__nap,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sk,name__sl,name__vec,name__vls,name__wa,identifier__FAST,identifier__PACE,identifier__NTA,name__th,wikipedia__th,identifier__GTAA,death_date,identifier__OLID,wikipedia__nds,wikipedia__etwikiquote,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__NNDB,name__sah,wikipedia__sah,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__sk
Q4830255,Axel Darvik,,Axel Darvik,Axel Darvik,Axel Darvik,Axel Darvik,male,1982,Axel,0691468495629,Axel Darvik,Axel Darvik,Axel Darvik,,Axel Darvik,,Axel Darvik,,Axel Darvik,Axel Darvik,Axel Darvik,,,,,,,,,,,,,,,,,,,,,,,,,,,Axel Darvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Axel Darvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4859748,Barbro Feltzing,,Barbro Feltzing,Barbro Feltzing,Barbro Feltzing,Barbro Feltzing,female,1945,Barbro,0553513261108,Barbro Feltzing,Barbro Feltzing,Barbro Feltzing,,Barbro Feltzing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4891898,Berit Jóhannesson,,Berit Jóhannesson,Berit Jóhannesson,Berit Jóhannesson,Berit Jóhannesson,female,1946,Berit,0928223863802,Berit Jóhannesson,Berit Jóhannesson,Berit Jóhannesson,,Berit Jóhannesson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4894082,Berndt Ekholm,,Berndt Ekholm,Berndt Ekholm,Berndt Ekholm,Berndt Ekholm,male,1944,Berndt,0610573125306,Berndt Ekholm,Berndt Ekholm,Berndt Ekholm,,Berndt Ekholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ekholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3363818,Catharina Bråkenhielm,,Catharina Bråkenhielm,Catharina Bråkenhielm,Catharina Bråkenhielm,Catharina Bråkenhielm,female,1956,Catharina,0264838147315,Catharina Bråkenhielm,Catharina Bråkenhielm,Catharina Bråkenhielm,,Catharina Bråkenhielm,https://upload.wikimedia.org/wikipedia/commons/1/16/Catharina_Bråkenhielm_01.JPG,Catharina Bråkenhielm,,,,,,,,,,Catharina Bråkenhielm,,,,,,,,Catharina Bråkenhielm,,,Catharina Bråkenhielm,,,,Catharina Bråkenhielm,,,,,,,,,,,,,,,,,,,,,,,,,,Catharina Bråkenhielm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4964936,Cecilia Magnusson,,Cecilia Magnusson,Cecilia Magnusson,Cecilia Magnusson,Cecilia Magnusson,female,1962,Cecilia,0522460069116,Cecilia Magnusson,Cecilia Magnusson,Cecilia Magnusson,,Cecilia Magnusson,https://upload.wikimedia.org/wikipedia/commons/b/b0/Cecilia_Magnusson_01.JPG,,,,,,,,,,,,,,,,,,,Cecilia Magnusson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Magnusson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3373659,Christina Oskarsson,,Christina Oskarsson,Christina Oskarsson,Christina Oskarsson,Christina Oskarsson,female,1951,Christina,0468775142013,Christina Oskarsson,Christina Oskarsson,Christina Oskarsson,,Christina Oskarsson,,Christina Oskarsson,,,,,,,,,,Christina Oskarsson,,,,,,,,Christina Oskarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christina Oskarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5584861,Claes-Göran Brandin,,Claes-Göran Brandin,Claes-Göran Brandin,Claes-Göran Brandin,Claes-Göran Brandin,male,1948,Claes,0272604986201,Claes-Göran Brandin,Claes-Göran Brandin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5125015,Claes Roxbergh,,Claes Roxbergh,Claes Roxbergh,Claes Roxbergh,Claes Roxbergh,male,1945,Claes,0267143098400,Claes Roxbergh,Claes Roxbergh,Claes Roxbergh,,Claes Roxbergh,,,,,,,,,,,,,,,,,,,,Claes Roxbergh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claes Roxbergh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4970650,Elizabeth Nyström,,Elizabeth Nyström,Elizabeth Nyström,Elizabeth Nyström,Elizabeth Nyström,female,1942,Elizabeth,013162757105,Elizabeth Nyström,Elizabeth Nyström,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Pat_Carlsson_en_Elisabeth_Nyström_(1967).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
Q5389786,Erling Bager,,Erling Bager,Erling Bager,Erling Bager,Erling Bager,male,1946,Erling,0117613859601,Erling Bager,Erling Bager,Erling Bager,,Erling Bager,,,,,,,,,,,,,,,,,,,,Erling Bager,,,,,,,,,,Bager,,,,,,,,,,,,,,,,,,,,,,,Erling Bager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4948373,Eva Flyborg,,Eva Flyborg,Eva Flyborg,Eva Flyborg,Eva Flyborg,female,1963,Eva,0401150407611,Eva Flyborg,Eva Flyborg,Eva Flyborg,,Eva Flyborg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Eva_Flyborg.JPG,Eva Flyborg,,Eva Flyborg,Eva Flyborg,,,,,,,,,,,,,,,Eva Flyborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva Flyborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q326524,Göran Lindblad,,Göran Lindblad,Göran Lindblad,Göran Lindblad,Göran Lindblad (politiker),male,1950-01-12,Göran,0870805820217,Göran Lindblad (politiker),Göran Lindblad,Göran Lindblad,,Göran Lindblad,https://upload.wikimedia.org/wikipedia/commons/0/05/Goran_Lindblad_vid_Nordiska_Radets_session_i_Stockholm.jpg,Göran Lindblad,,,,,,,,,,Göran Lindblad,,,,,,,,Göran Lindblad,Göran Lindblad (Politiker),/m/0b7mdx,,,,,,,,Lindblad,Göran Lindblad,Göran Lindblad,,,,,,,,,,,Göran Lindblad,,,,,,,,,,Göran Lindblad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5716610,Henrik von Sydow,,Henrik von Sydow,Henrik von Sydow,Henrik von Sydow,Henrik von Sydow,male,1976,Henrik,0292756653724,Henrik von Sydow,Henrik von Sydow,Henrik von Sydow,,Henrik von Sydow,,,,,,,,,Хенрик фон Сюдов,,,,,,,,,,,Henrik von Sydow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik von Sydow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6032157,Ingemar Vänerlöv,,Ingemar Vänerlöv,Ingemar Vänerlöv,Ingemar Vänerlöv,Ingemar Vänerlöv,male,1944,Ingemar,0548843588006,Ingemar Vänerlöv,Ingemar Vänerlöv,Ingemar Vänerlöv,,Ingemar Vänerlöv,,,,,,,,,,,,,,,,,,,,Ingemar Vänerlöv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingemar Vänerlöv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4974484,Inger René,,Inger René,Inger René,Inger René,Inger René,female,1937,Inger,0388920259006,Inger René,Inger René,Inger René,,Inger René,https://upload.wikimedia.org/wikipedia/commons/9/9e/Inger_Rene.jpg,,,,,,,,,,,,,,,,,,,Inger René,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inger René,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3374555,Jan-Olof Larsson,,Jan-Olof Larsson,Jan-Olof Larsson,Jan-Olof Larsson,Jan-Olof Larsson,male,1951,,0544046588414,Jan-Olof Larsson,Jan-Olof Larsson,,,Jan-Olof Larsson,,Jan-Olof Larsson,,,,,,,,,,Jan-Olof Larsson,,,,,,,,Jan-Olof Larsson,,/m/0ks8mg,,,,,,,,Larsson,,,,,,,,,,,,,,,,,,,,,,,Jan-Olof Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5718617,Jan Ertsborn,,Jan Ertsborn,Jan Ertsborn,Jan Ertsborn,Jan Ertsborn,male,1944,Jan,09812885803,Jan Ertsborn,Jan Ertsborn,Jan Ertsborn,,Jan Ertsborn,https://upload.wikimedia.org/wikipedia/commons/2/2a/Jan_Ertsborn.jpg,Jan Ertsborn,,Jan Ertsborn,Jan Ertsborn,Jan Ertsborn,,,,,,,,,,,,,,Jan Ertsborn,,,,,,,,,,,,,Jan Ertsborn,,,,,,,,,,,,,,,,,,,,Jan Ertsborn,,,,,,,,,,,,,,,,Jan Ertsborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3373169,Kenneth G. Forslund,,Kenneth G. Forslund,Kenneth G. Forslund,Kenneth G. Forslund,Kenneth G. Forslund,male,1967,Kenneth,0257612529618,Kenneth G. Forslund,Kenneth G. Forslund,,,Kenneth G. Forslund,,Kenneth G. Forslund,,,,,,,,,,Kenneth G. Forslund,,,,,,,,Kenneth G. Forslund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenneth G. Forslund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6027303,Kent Olsson,,Kent Olsson,Kent Olsson,Kent Olsson,Kent Olsson (politiker),male,1944,Kent,046703152205,Kent Olsson (politiker),Kent Olsson,Kent Olsson,,Kent Olsson (politician),"https://upload.wikimedia.org/wikipedia/commons/e/e2/Kent_Olsson,_ordforande_naringsutskottet_(Bilden_ar_tagen_vid_Nordiska_radets_session_i_Oslo,_2003).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5901725,Kjell-Erik Karlsson,,Kjell-Erik Karlsson,Kjell-Erik Karlsson,Kjell-Erik Karlsson,Kjell-Erik Karlsson,male,1946,Kjell,0883123676901,Kjell-Erik Karlsson,Kjell-Erik Karlsson,,,Kjell-Erik Karlsson,,,,,,,,,,,,,,,,,,,,Kjell-Erik Karlsson,,,,,,,,,,Karlsson,,,,,,,,,,,,,,,,,,,,,,,Kjell-Erik Karlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5591718,Lars Bäckström,,Lars Bäckström,Lars Bäckström,Lars Bäckström,Lars Bäckström,male,1953-03-16,Lars,0792716417210,Lars Bäckström,Lars Bäckström,Lars Bäckström,,Lars Bäckström,https://upload.wikimedia.org/wikipedia/commons/a/a5/Lars-backstrom-2008.jpg,Lars Bäckström,,,,,,,,,,Lars Bäckström,,,,,,,,Lars Bäckström,,,Lars Bäckström,,,,Lars Bäckström,,,Bäckström,,,,,,,,,,,,,,,,,,,,,,,Lars Bäckström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6217745,Lars Tysklind,,Lars Tysklind,Lars Tysklind,Lars Tysklind,Lars Tysklind,male,1953-02-28,Lars,0535526562910,Lars Tysklind,Lars Tysklind,Lars Tysklind,,Lars Tysklind,https://upload.wikimedia.org/wikipedia/commons/4/4d/Lars_Tysklind.jpg,,,,,,,,,,,,,,,,,,,Lars Tysklind,,,,,,,,,,,Lars Tysklind,Lars Tysklind,,,,,,,,,,,,,,,,,,,,,Lars Tysklind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3296958,Leif Pagrotsky,Leif Pagrotsky,Leif Pagrotsky,Leif Pagrotsky,Leif Pagrotsky,Leif Pagrotsky,male,1951-10-20,Leif,0888126424314,Leif Pagrotsky,Leif Pagrotsky,,,Leif Pagrotsky,https://upload.wikimedia.org/wikipedia/commons/1/12/Leif_Pagrotsky.1c447_5167.jpg,Leif Pagrotsky,,,,,,Leif Pagrotsky,,,,Leif Pagrotsky,,Leif Pagrotsky,,,,270905868,,Leif Pagrotsky,,/m/04zvxr,,,Leif Pagrotsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leif Pagrotsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6011035,Lennart Nilsson,,Lennart Nilsson,Lennart Nilsson,Lennart Nilsson,Lennart Nilsson (politiker),male,1944,Lennart,0446973363306,Lennart Nilsson (politiker),Lennart Nilsson,Lennart Nilsson,,,,,,,,,,,,,,,,,,,,94407059,,,,,,,,,,,,Nilsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164308148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4942028,Marianne Carlström,,Marianne Carlström,Marianne Carlström,Marianne Carlström,Marianne Carlström,female,1946,Marianne,0810673119603,Marianne Carlström,Marianne Carlström,,,,"https://upload.wikimedia.org/wikipedia/commons/8/89/Marianne_Carlstrom,_Sverige_(Bilden_ar_tagen_vid_Nordiska_radets_session_i_Oslo,_2003).jpg",,,,,,,,,,,,,,,,,31968529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4938501,Mona Berglund Nilsson,Mona Berglund Nilsson,Mona Berglund Nilsson,Mona Berglund Nilsson,Mona Berglund Nilsson,Mona Berglund Nilsson,female,1942,Mona,0372922430808,Mona Berglund Nilsson,Mona Berglund Nilsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4988873,Mona Jönsson,,Mona Jönsson,Mona Jönsson,Mona Jönsson,Mona Jönsson,female,1951,Mona,0597915398712,Mona Jönsson,Mona Jönsson,Mona Jönsson,,Mona Jönsson,,,,,,,,,,,,,,,,,,,,Mona Jönsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mona Jönsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6202220,Nils-Erik Söderqvist,,Nils-Erik Söderqvist,Nils-Erik Söderqvist,Nils-Erik Söderqvist,Nils-Erik Söderqvist,male,1948,,0428644311601,Nils-Erik Söderqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4355135,Per Landgren,,Per Landgren,Per Landgren,Per Landgren,Per Landgren,male,1958,Per,0363608290410,Per Landgren,Per Landgren,Per Landgren,,Per Landgren,,Per Landgren,,Per Landgren,Per Landgren,Per Landgren,,,,,Per Landgren,,,,,,,15650975,,Per Landgren,,/m/02q0d08,,,,,,0000 0000 5068 6996,,,,,,,,,,,,,,,,,,,,,,,,,Per Landgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5955244,Rolf Lindén,,Rolf Lindén,Rolf Lindén,Rolf Lindén,Rolf Lindén,male,1957,Rolf,0479638936816,Rolf Lindén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lindén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6027916,Rolf Olsson,,Rolf Olsson,Rolf Olsson,Rolf Olsson,Rolf Olsson,male,1949,Rolf,0114065053815,Rolf Olsson,Rolf Olsson,Rolf Olsson,,Rolf Olsson,,,,,,,,,,,,,,,,,,,,Rolf Olsson,,,,,,,,,,Olsson,,,,,,,,,,,,,,,,,,,,,,,Rolf Olsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,
Q4975896,Rosita Runegrund,,Rosita Runegrund,Rosita Runegrund,Rosita Runegrund,Rosita Runegrund,female,1947,Rosita,0574724112206,Rosita Runegrund,Rosita Runegrund,Rosita Runegrund,,Rosita Runegrund,,,,,,,,,,,,,,,,,,,,Rosita Runegrund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosita Runegrund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
