id,name__no,name,wikipedia__no,name__nb,wikipedia__nb,name__nn,wikipedia__nn,name__en,wikipedia__en,image,gender,birth_date,given_name,identifier__freebase,twitter,identifier__VIAF,identifier__IMDB,identifier__GND,identifier__LCAuth,identifier__BIBSYS,facebook,identifier__ISNI,identifier__SUDOC,family_name,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,website,death_date,identifier__BNF,identifier__NTA,identifier__NDL,identifier__NLA,identifier__NSK,identifier__NPG,identifier__N6I,name__de,name__es,name__fr,name__nl,name__da,name__sv,wikipedia__da,wikipedia__de,name__pl,name__se,wikipedia__fr,wikipedia__pl,wikipedia__se,wikipedia__sv,name__ru,name__ro,name__fi,name__et,name__fo,name__cs,name__ja,name__he,name__uk,name__fa,wikipedia__cs,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__ro,wikipedia__ru,wikipedia__uk,name__id,wikipedia__id,wikipedia__commons,name__ka,wikipedia__ka,name__la,wikipedia__la,name__it,wikipedia__it,wikipedia__nowikiquote,name__tr,wikipedia__tr,name__cy,name__en_gb,name__eo,name__gl,wikipedia__gl,name__ar,wikipedia__ar,name__is,name__qu,name__de_ch,name__en_ca,wikipedia__cswikiquote,wikipedia__is,wikipedia__plwikiquote,wikipedia__qu,name__ca,name__hr,name__lt,name__pt,name__sk,name__sl,name__kl,name__vi,wikipedia__vi,name__ur,wikipedia__ur,name__hu,name__el,name__ta,name__af,name__bn,name__br,name__lb,name__sr,name__be,name__zh,name__mr,name__lmo,name__ko,name__mk,name__nds,name__vmf,name__vls,name__pdc,name__gsw,wikipedia__af,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__el,wikipedia__hu,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__mr,wikipedia__pt,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__zh,name__an,name__bs,name__ceb,name__eu,name__ga,name__nds_nl,name__pms,name__sq,name__vec,name__wa,name__oc,name__ms,name__sw,name__bcl,name__be_tarask,name__io,name__kk,name__yo,name__lv,name__sh,name__ku,name__bg,name__pt_br,name__sco,name__ml,name__hi,name__az,name__ie,name__hy,wikipedia__an,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__bg,wikipedia__ca,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__ga,wikipedia__hi,wikipedia__ie,wikipedia__io,wikipedia__kk,wikipedia__ku,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__oc,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sw,wikipedia__yo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__nds,wikipedia__hy,name__sr_el,name__sr_ec,name__ia,name__tl,name__ku_arab,name__ku_latn,name__war,name__mg,name__ne,wikipedia__bs,wikipedia__cy,wikipedia__eswikiquote,wikipedia__hr,wikipedia__ia,wikipedia__mg,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,wikipedia__war,wikipedia__enwikisource,name__szl,wikipedia__szl,wikipedia__bswikiquote,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,wikipedia__arz,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__te,wikipedia__th,identifier__GNC,wikipedia__species,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__vo,name__wo,name__zu,wikipedia__ast,original_wikiname,identifier__OLID,identifier__NLAtrove,identifier__FAST,identifier__Britannica,wikipedia__frwikiquote,wikipedia__nowikisource,name__new,name__sa,wikipedia__new,wikipedia__sa,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__SFDb,identifier__TED,name__fit,name__vep,wikipedia__vep,wikipedia__nnwikiquote
Q7159105,,Peder Nielsen Hemb,,,,,,Peder Nielsen Hemb,Peder Nielsen Hemb,,male,,Peder,,,,,,,,,,,,,,,,,,,,,,,,,Peder Nielsen Hemb,,Peder Nielsen Hemb,Peder Nielsen Hemb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peder Nielsen Hemb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peder Nielsen Hemb,,,,,,,,,,,,,,,,,,,
Q16760848,,Tor Henriksen,Tor Henriksen,Tor Henriksen,,Tor Henriksen,Tor Henriksen,Tor Henriksen,,,male,1933-05-16,Tor,,,,,,,,,,,,,,,,,,,,,,,,,Tor Henriksen,,Tor Henriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tor Henriksen,,,,,,,,,,,,,,,,,,,
Q262626,,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,https://upload.wikimedia.org/wikipedia/commons/3/3f/CI_Hagen2326_2E_jpg_DF0000062800.jpg,male,1944-05-06,Carl,/m/01syq7,,61766042,nm1047928,128406054,n85019028,,,0000 0000 7842 148X,,Hagen,,00000019304,106015,,,,14439413n,,,,,,,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,Carl I. Hagen,,Carl I. Hagen,Carl I. Hagen,,Carl I. Hagen,,,Carl I. Hagen,,Carl I. Hagen,,カール・ハーゲン,,,,,,,,Carl I. Hagen,Carl I. Hagen,,カール・ハーゲン,,,,,Carl I. Hagen,Carl I. Hagen,,,,,,Carl Ivar Hagen,Carl Ivar Hagen,Carl Ivar Hagen,Carl I. Hagen,Carl I. Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl I. Hagen,,,,,,,,,,,,,,,,,,,,,,,,Carl I. Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl I. Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl I. Hagen,,,149500,,,,,,,,,,,,,,,,
Q7082878,,Ola O. Røssum,Ola O. Røssum,Ola O. Røssum,,Ola O. Røssum,,Ola O. Røssum,Ola O. Røssum,,male,1926-05-10,Ola,,,,,,,,,,,,,,,,,2012-05-29,,,,,,,,,,Ola O. Røssum,Ola O. Røssum,Ola O. Røssum,Ola O. Røssum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ola O. Røssum,,,,,,,,,,,,,,,,,,,
Q6515505,,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,https://upload.wikimedia.org/wikipedia/commons/2/20/Rolf_Reikvam_(SV)_BSPC_18_Nyborg_Danmark_2009-08-31.jpg,male,1948-03-12,Rolf,,,,,,,,,,,,,,,,,,,,,,,,,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,Rolf Reikvam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rolf Reikvam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolf Reikvam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolf Reikvam,,,,,,,,,,,,,,,,,,,
Q210789,,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,,male,1799-06-11,Jens,,,,,,,,,,,,,,,,,1881-06-22,,,,,,,,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,Jens Henrik Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Henrik Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Henrik Beer,,,,,,,,,,,,,,,,,,,
Q5963575,,Hårek Ludvig Hansen,,,,,,Hårek Ludvig Hansen,Hårek Ludvig Hansen,,male,1901-07-14,,,,,,,,,,,,,,,,,,1996-03-01,,,,,,,,Hårek Ludvig Hansen,,Hårek Ludvig Hansen,Hårek Ludvig Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hårek Ludvig Hansen,,,,,,,,,,,,,,,,,,,
Q7166644,,Per Aunet,Per Aunet,Per Aunet,,Per Aunet,,Per Aunet,Per Aunet,,male,1940-04-19,Per,,,,,,,,,,,,,,,,,,,,,,,,,Per Aunet,Per Aunet,Per Aunet,Per Aunet,Per Aunet,Per Aunet,,,,,Per Aunet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Aunet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Aunet,,,,,,,,,,,,,,,,,,,
Q5109670,,Christian Hansen Tandberg,,,,,,Christian Hansen Tandberg,Christian Hansen Tandberg,,male,1872-10-28,Christian,,,,,,,,,,,,,,,,,,,,,,,,,Christian Hansen Tandberg,,Christian Hansen Tandberg,Christian Hansen Tandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Hansen Tandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Hansen Tandberg,,,,,,,,,,,,,,,,,,,
Q11980838,,Kjell Furnes,Kjell Furnes,Kjell Furnes,,,,Kjell Furnes,,,male,1936-06-21,Kjell,,,228009179,,,,,,,,,,,,,,,,,,,,,,Kjell Furnes,,Kjell Furnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kjell Furnes,,,,,,,,,,,,,,,,,,,
Q3738543,,Jan Olav Olsen,Jan Olav Olsen,Jan Olav Olsen,,Jan Olav Olsen,Jan Olav Olsen,Jan Olav Olsen,Jan Olav Olsen,,male,1950-09-29,Jan,,,,,,,,,,,,,,,,,,,,,,,,,Jan Olav Olsen,,Jan Olav Olsen,Jan Olav Olsen,Jan Olav Olsen,Jan Olav Olsen,,,,,,,,,,,,Jan Olav Olsen,,,,,,,,,Jan Olav Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Olav Olsen,,,,,,,,,,,,,,,,,,,
Q7781572,,Theodor Broch,Theodor Broch,Theodor Broch,,Theodor Broch,Theodor Broch,Theodor Broch,Theodor Broch,,male,1904-01-27,Theodor,,,222653152,,,,,,,16787442X,,,,,,,1998-04-26,,,,,,,,Theodor Broch,Theodor Broch,Theodor Broch,Theodor Broch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodor Broch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodor Broch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodor Broch,,,,,,,,,,,,,,,,,,,
Q4572925,,Svein Harberg,Svein Harberg,Svein Harberg,,Svein Harberg,Svein Harberg,Svein Harberg,Svein Harberg,"https://upload.wikimedia.org/wikipedia/commons/d/d0/Svein_Harberg,_the_Chairman_of_the_Norwegian_Government’s_Cultural_Committee_(18691275716).jpg",male,1958-07-30,Svein,,,,,,,,,,,,,,,,,,,,,,,,,Svein Harberg,Svein Harberg,Svein Harberg,Svein Harberg,Svein Harberg,Svein Harberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svein Harberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svein Harberg,,,,,,,,,,,,,,,,,,,
Q1776610,,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,,male,1945,,,,96732332,,,,x90131983,,,,,,,,,,,,,,,,,,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,Hallgrim Berg,,,Hallgrim Berg,,,Hallgrim Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hallgrim Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hallgrim Berg,,,,,,,,,,,,,,,,,,,
Q613071,,Johannes Steen,Johannes Steen,Johannes Steen,,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,https://upload.wikimedia.org/wikipedia/commons/8/85/Johannes_Steen.jpg,male,1827-07-22,Johannes,/m/04h2rz,,228243076,,,,,,,,,,,,,,1906-04-01,,,,,,,,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,,Johannes Steen,Johannes Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,
Q1770953,,John Alvheim,John Alvheim,John Alvheim,,John Alvheim,John Alvheim,John Alvheim,John Alvheim,,male,1930-05-21,John,,,279295046,,,,,,,,,,,,,,2005-12-05,,,,,,,,John Alvheim,John Alvheim,John Alvheim,John Alvheim,John Alvheim,John Alvheim,,,John Alvheim,,,John Alvheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Alvheim,,,,,,,,,,,,,,,,,,,,,,,,,,John Alvheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Alvheim,,,1634546,,,,,,,,,,,,,,,,
Q3440633,,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,https://upload.wikimedia.org/wikipedia/commons/0/01/Thor_Erik_Forsberg_-_Arbeiderpartiet.jpg,male,1980-04-02,Thor,,,,,,,,,,,,,,,,,,,,,,,,,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,Thor Erik Forsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thor Erik Forsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thor Erik Forsberg,,,,,,,,,,,,,,,,,,,
Q5371361,,Emil Løvlien,Emil Løvlien,Emil Løvlien,,Emil Løvlien,Emil Løvlien,Emil Løvlien,Emil Løvlien,https://upload.wikimedia.org/wikipedia/commons/9/96/Emil_Løvlien_(Wardenær).jpg,male,1899-09-22,Emil,,,,,,,,,,,,,,,,,1973,,,,,,,,Emil Løvlien,,Emil Løvlien,Emil Løvlien,Emil Løvlien,Emil Løvlien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Эмиль Левлиен,,,,,,,,,,,,,,,,,,,,,,,,,,,Эмиль Левлиен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emil Løvlien,,,,,,,,,,,,,,,,,,,
Q2466430,,Jørgen Aall,Jørgen Aall,Jørgen Aall,,Jørgen Aall,Jørgen Aall,Jørgen Aall,Jørgen Aall,https://upload.wikimedia.org/wikipedia/commons/5/5d/Jørgen_Aall.jpg,male,1771-02-22,Jørgen,,,293430280,,,,x12000847,,,,,,,,,,1833-04-07,,,,,,,,Jørgen Aall,Jørgen Aall,Jørgen Aall,Jørgen Aall,Jørgen Aall,Jørgen Aall,Jørgen Aall (1771-1833),,,,,,,Jørgen Aall (1771–1833),"Оль, Йёрген",,,,,,,,,,,,,,,,,,,,"Оль, Йёрген",,,,Category:Jørgen Aall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jørgen Aall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jørgen Aall,,,,,,,,,,,,,,,,,,,
Q4755480,,Andreas Kaddeland,,,,,,Andreas Kaddeland,Andreas Kaddeland,,male,1858-01-07,Andreas,,,,,,,,,,,,,,,,,1943-07-05,,,,,,,,Andreas Kaddeland,,Andreas Kaddeland,Andreas Kaddeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Kaddeland,,,,,,,,,,,,,,,,,,,
Q1080992,,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,https://upload.wikimedia.org/wikipedia/commons/2/24/Christian_Magnus_Falsen.jpg,male,1782-09-14,Christian,/m/0bb4kf,,27412869,,,,x90200762,,,,,,,,,,1830-01-13,,,,,,,,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,Christian Magnus Falsen,,,,,,Christian Magnus Falsen,,,Christian Magnus Falsen,,,,,,,,,,,,Christian Magnus Falsen,,,,,,,,,,Category:Christian Magnus Falsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Magnus Falsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Magnus Falsen,OL2393504A,,,,,Forfatter:Christian Magnus Falsen,,,,,,,,,,,,,
Q4587714,,Ottar Brox,Ottar Brox,Ottar Brox,,Ottar Brox,Ottar Brox,Ottar Brox,Ottar Brox,,male,1932-08-30,,,,55259841,,,,,,0000 0001 2096 1659,059058080,,,,,,,,12193602j,070515409,,,,,,Ottar Brox,Ottar Brox,Ottar Brox,Ottar Brox,Ottar Brox,Ottar Brox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ottar Brox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ottar Brox,,796968,121705,,,,,,,,,,,,,,,,
Q4573854,,Jens Landmark,Jens Landmark,Jens Landmark,,Jens Landmark,Jens Landmark,Jens Landmark,Jens Landmark,,male,1811-12-17,Jens,,,,,,,,,,,,,,,,,1880-07-09,,,,,,,,Jens Landmark,,Jens Landmark,Jens Landmark,Jens Landmark,Jens Landmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Landmark,,,,,,,,,,,,,,,,,,,
Q1379615,,Evald Rygh,Evald Rygh,Evald Rygh,,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,https://upload.wikimedia.org/wikipedia/commons/7/70/36967_Evald_Rygh.jpg,male,1842-05-26,,/m/0bp_ct,,,,,,,,,,,,,,,,1913-05-09,,,,,,,,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,Evald Rygh,,,,,,Evald Rygh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evald Rygh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evald Rygh,,,,,,,,,,,,,,,,,,,
Q3356717,,Inger Løite,Inger Haldis Løite,Inger Haldis Løite,,Inger Løite,Inger Løite,Inger Løite,Inger Løite,https://upload.wikimedia.org/wikipedia/commons/f/ff/Inger_Loite.jpg,female,1958-10-27,Inger,/m/0dywj0,,,,,,,,,,,,,,,,,,,,,,,,Inger Løite,Inger Løite,Inger Løite,Inger Løite,Inger Haldis Løite,Inger Løite,,,,,,,,Inger Løite,,,,Inger Haldis Løite,,,,,,,,,Inger Haldis Løite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inger Løite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inger Løite,,,,,,,,,,,,,,,,,,,
