id,name__az,name,name__en,gender,birth_date,given_name,identifier__PACE,identifier__VIAF,image,identifier__freebase,website,identifier__LCAuth,death_date,wikipedia__az,wikipedia__en,name__ru,name__hy,name__pl,wikipedia__commons,wikipedia__ru,name__fr,name__it,name__de,name__tr,name__es,name__nl,wikipedia__azwikiquote,wikipedia__tr,name__cs,name__fa,name__id,name__ka,name__ms,name__sv,name__zh,name__be,wikipedia__be,wikipedia__cs,wikipedia__fa,wikipedia__fr,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__ms,wikipedia__pl,wikipedia__sv,wikipedia__zh,name__ro,wikipedia__de,wikipedia__ro,name__ca,name__oc,name__en_gb,wikipedia__azwikibooks,wikipedia__es,name__uk,wikipedia__uk,wikipedia__gag,name__gag,original_wikiname,identifier__BNF,identifier__SUDOC,identifier__ISNI,identifier__NUKAT,identifier__LNB,identifier__FAST,name__hu,last_seen
Q19715616,Sevinc Hüseynova,Sevinc Hüseynova,,,,,,,,,,,,Sevinc Hüseynova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevinc Hüseynova,,,,,,,,2016-03-27
Q19716272,Çingiz Qənizadə,Çingiz Qənizadə,,male,,,,,,,,,,Çingiz Qənizadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Çingiz Qənizadə,,,,,,,,2016-03-27
Q19716382,İlham Məmmədov,İlham Məmmədov,,,,,,,,,,,,İlham Məmmədov (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İlham Məmmədov (millət vəkili),,,,,,,,2016-03-27
Q19716385,İlham Əliyev,İlham Əliyev,,,,,,,,,,,,İlham Əliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İlham Əliyev (millət vəkili),,,,,,,,2016-03-27
Q19716722,Əsabil Qasımov,Əsabil Qasımov,,,,,,,,,,,,Əsabil Qasımov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əsabil Qasımov,,,,,,,,2016-03-27
Q19838096,Hacı Salayev,Hacı Salayev,Hacı Salayev,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/HaciSalayev.jpg,,,,,Hacı Salayev,,,,,Category:Hacı Salayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hacı Salayev,,,,,,,,2016-03-27
Q1995614,Rövnəq Abdullayev,Rövnəq Abdullayev,Rovnag Abdullayev,male,1965-04-03,,,,,,,,,Rövnəq Abdullayev,Rovnag Abdullayev,"Абдуллаев, Ровнаг Ибрагим оглы",,,Category:Rövnəq Abdullayev,"Абдуллаев, Ровнаг Ибрагим оглы",Rovnag Abdullayev,Rovnag Abdullayev,Rövnəq Abdullayev,Rövnag Abdullayev,Rovnag Abdullayev,Rovnag Abdullayev,,Rövnag Abdullayev,,رووناگ عبدالله‌یف,,,,,,,,,روونگ عبدالله‌یف,,,,,,,,,,Rovnag Abdullayev,Rövnəq Abdullayev,Rovnag Abdullayev,,,,,,,,,,Rövnəq Abdullayev,,,,,,,,2016-03-27
Q2047294,Aydın Mirzəzadə,Aydın Mirzəzadə,Aydin Mirzazade,male,1957-07-02,Aydin,,24032692,,,,,,Aydın Mirzəzadə,Aydin Mirzazade,"Мирзазаде, Айдын",,,Category:Aydın Mirzəzadə,"Мирзазаде, Айдын",Aydin Mirzazade,,Aydin Mirzazade,Aydın Mirzazade,Aydin Mirzazade,Aydin Mirzazade,Aydın Mirzəzadə,Aydın Mirzazade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aydın Mirzəzadə,,,,,,,,2016-03-27
Q20556703,Aslan Cəfərov,Aslan Cəfərov,,,,,,,,,,,,Aslan Cəfərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aslan Cəfərov,,,,,,,,2016-03-27
Q20560414,Mahir Abbaszadə,Mahir Abbaszadə,,,1975-10-27,,,,https://upload.wikimedia.org/wikipedia/commons/2/22/Mahir_Abbaszadə.jpg,,,,,Mahir Abbaszadə,,,,,Category:Mahir Abbaszadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahir Abbaszadə,,,,,,,,2016-03-27
Q23304292,Tahir Mirkişili,Tahir Mirkişili,Tahir Mirkişili,male,1977-06-07,,,,,,,,,Tahir Mirkişili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahir Mirkişili,,,,,,,,2016-03-27
Q2507445,Zeynəb Xanlarova,Zeynəb Xanlarova,Zeynab Khanlarova,female,1936-12-28,,,4495836,,/m/06zjqk7,,,,Zeynəb Xanlarova,Zeynab Khanlarova,"Ханларова, Зейнаб Яхъя кызы",Զեյնաբ Խանլարովա,,,"Ханларова, Зейнаб Яхъя кызы",Zeynab Khanlarova,,,Zeyneb Hanlarova,Zeynab Khanlarova,Zeynab Khanlarova,Zeynəb Xanlarova,Zeyneb Hanlarova,Zejnab Chanlarova,زینب خانلاروا,,,,,,,,Zejnab Chanlarova,زینب خانلاروا,,Զեյնաբ Խանլարովա,,,,,,,,,,,,,,,,,,,,Zeynəb Xanlarova,,,,,,,,2016-03-27
Q4054391,Aqil Abbas,Aqil Abbas,Agil Abbas,male,1953-04-01,,,305040090,,,,,,Aqil Abbas,Agil Abbas,"Аббасов, Агиль Магомед оглы",,,Category:Aqil Abbas,"Аббасов, Агиль Магомед оглы",Agil Abbas,,Agil Abbas,,Agil Abbas,,Aqil Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aqil Abbas,,,,,,,,2016-03-27
Q4054393,Aydın Abbasov,Aydın Abbasov,Aydin Abbasov,male,1976-08-26,Aydin,5689,,,,,,,Aydın Abbasov,,"Аббасов, Айдын Аббас оглы",,,,"Аббасов, Айдын Аббас оглы",Aydin Abbasov,Aydin Abbasov,Aydin Abbasov,,,Aydin Abbasov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aydın Abbasov,,,,,,,,2016-03-27
Q4056585,Fəzail Ağamalı,Fəzail Ağamalı,,male,1947-08-26,,,,,,,,,Fəzail Ağamalı,,"Агамалы, Фазаил Рагим оглы",,,,"Агамалы, Фазаил Рагим оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fəzail Ağamalı,,,,,,,,2016-03-27
Q4062290,Cəlal Əliyev,Cəlal Əliyev,Jalal Aliyev,male,1928-06-30,Q4159754,,,,,,n84237076,2016-01-31,Cəlal Əliyev,Jalal Aliyev,"Алиев, Джалал Алирза оглы",,,,"Алиев, Джалал Алирза оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cəlal Əliyev/Biblioqrafiya,,,,,,Cəlal Əliyev,,,0000 0001 1468 8967,n2005003918,000123940,,,
Q4062335,Araz Əlizadə,Araz Əlizadə,,male,1951-11-03,,,,,,,,,Araz Əlizadə,,"Ализаде, Араз Мамед-Мубариз оглы",,,,"Ализаде, Араз Мамед-Мубариз оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Araz Əlizadə,,,,,,,,2016-03-27
Q4064363,Əhliman Əmiraslanov,Əhliman Əmiraslanov,Ahliman Amiraslanov,male,1947-11-17,,,26432294,https://upload.wikimedia.org/wikipedia/commons/5/59/Əhliman_Əmiraslanov.jpg,,,n2002134190,,Əhliman Əmiraslanov,Ahliman Amiraslanov,"Амирасланов, Ахлиман Тапдыг оглы",,,Category:Əhliman Əmiraslanov,"Амирасланов, Ахлиман Тапдыг оглы",Ahliman Amiraslanov,,Ehliman Emiraslanov,Ehliman Emiraslanov,Ahliman Amiraslanov,Ahliman Amiraslanov,Əhliman Əmiraslanov,Ehliman Emiraslanov,,,,,,,,,,,,Ehliman Emiraslanov,,,,,,,,,,Əhliman Əmiraslanov,,,,,Kateqoriya:Əhliman Əmiraslanov,Ahliman Amiraslanov,,,Ehliman Emiraslanov,Ehliman Emiraslanov,Əhliman Əmiraslanov,,,,,,,,2016-03-27
Q4071114,Oqtay Əsədov,Oqtay Əsədov,Ogtay Asadov,male,1955-01-03,,,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Ogtay_Asadov_Senate_of_Poland_01.JPG,/m/0fq25bv,,,,Oqtay Əsədov,Ogtay Asadov,"Асадов, Октай Сабир оглы",,Oqtay Əsədov,Category:Ogtay Asadov,"Асадов, Октай Сабир оглы",,,,,Ogtay Asadov,Ogtay Asadov,,,,اوگتای اسدف,,,,,,,,,اوگتای اسدف,,,,,,,Oqtay Əsədov,,,,,,,,,,,,,,,Oqtay Əsədov,,,,,,,Ogtay Asadov,2016-03-27
Q4071295,Ziyafət Əsgərov,Ziyafət Əsgərov,Ziyafat Asgarov,male,1963-10-24,,,,,,,,,Ziyafət Əsgərov,Ziyafat Asgarov,"Аскеров, Зияфет Аббас оглы",,,,"Аскеров, Зияфет Аббас оглы",Ziyafat Asgarov,,,,Ziyafat Asgarov,Ziyafat Asgarov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziyafət Əsgərov,,,,,,,Ziyafat Asgarov,2016-03-27
Q4071351,Rəbiyyət Aslanova,Rəbiyyət Aslanova,,female,1951-07-04,,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Rabiyyat_Aslanova.jpg,,,,,Rəbiyyət Aslanova,,"Асланова, Рабият Нурулла кызы",,,Category:Rabiyyat Aslanova,"Асланова, Рабият Нурулла кызы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rəbiyyət Aslanova,,,,,,,,2016-03-27
Q4073064,Əli Əhmədov,Əli Əhmədov,,male,1953-01-27,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/YAP_İcra_katibi_Əli_Əhmədov.JPG,,,,,Əli Əhmədov (millət vəkili),,"Ахмедов, Али Джавад оглы",,,,"Ахмедов, Али Джавад оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əli Əhmədov (millət vəkili),,,,,,,,2016-03-27
Q4130889,İsa Həbibbəyli,İsa Həbibbəyli,,male,1949-10-16,,,266371079,,,,,,İsa Həbibbəyli,,"Габиббейли, Иса Акпер оглы",,,,"Габиббейли, Иса Акпер оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İsa Həbibbəyli,,122147294,,,,,,2016-03-27
Q4131517,İsmayıl Hacıyev,İsmayıl Hacıyev,,male,1951-01-21,,,38805430,,,,,,İsmayıl Hacıyev,,"Гаджиев, Исмаил Мухтар оглы",,,,"Гаджиев, Исмаил Мухтар оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İsmayıl Hacıyev,,,,,,,,2016-03-27
Q4134058,Məlahət Həsənova,Məlahət Həsənova,,female,1958-04-25,,,,,,,,,Məlahət Həsənova,,"Гасанова, Малахат Ибрагим кызы",,,,"Гасанова, Малахат Ибрагим кызы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Məlahət İbrahimqızı,,,,,,,,2016-03-27
Q4151832,Azay Quliyev,Azay Quliyev,,male,1971-06-23,,,,,,,,,Azay Quliyev,,"Гулиев, Азай Аждар оглы",,,Category:Azay Quliyev,"Гулиев, Азай Аждар оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azay Quliyev,,,,,,,,2016-03-27
Q4152762,Əliağa Hüseynov,Əliağa Hüseynov,,male,1946,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Əliağa_Hüseynov.jpg,,,,,Əliağa Hüseynov,,"Гусейнов, Алиага Иззят оглы",,,,"Гусейнов, Алиага Иззят оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əliağa Hüseynov,,,,,,,,2016-03-27
Q4167611,Ziyad Səmədzadə,Ziyad Səmədzadə,,male,1940-06-25,,,,,,http://www.samedzade.az,,,Ziyad Səmədzadə,,"Самедзаде, Зияд Алиаббас оглы",,,,"Самедзаде, Зияд Алиаббас оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziyad Səmədzadə,,,,,,,,2016-03-27
Q4285756,Yaqub Mahmudov,Yaqub Mahmudov,,male,1939-02-10,,,45584775,,,,,,Yaqub Mahmudov,,"Махмудов, Ягуб Микаил оглы",,,,"Махмудов, Ягуб Микаил оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaqub Mahmudov,167473236,119545780,,,,,,2016-03-27
Q4300474,Asim Mollazadə,Asim Mollazadə,,male,1953,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Asim_Mollazadə_Polşa_Senatında.JPG,,,,,Asim Mollazadə,,"Моллазаде, Асим Назим оглу",,,Category:Asim Mollazadə,"Моллазаде, Асим Назим оглу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asim Mollazadə,,,,,,,,2016-03-27
Q4308291,Rasim Musabəyov,Rasim Musabəyov,Rasim Musabayov,male,1951-01-01,Rasim,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Rasim_Musabayov.jpg,,,,,Rasim Musabəyov,Rasim Musabayov,"Мусабеков, Расим Насреддин оглы",,,,"Мусабеков, Расим Насреддин оглы",Rasim Musabayov,,,,,Rasim Musabayov,Rasim Musabəyov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rasim Musabəyov,,,,,,,,2016-03-27
Q4725004,Əli Məsimli,Əli Məsimli,Ali Masimov,male,1953-01-03,Ali,,,,,,,,Əli Məsimli,Ali Masimov,,,,,,Ali Masimov,,,,Ali Masimov,Ali Masimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алі Масімов,Алі Масімов,,,Əli Məsimli,,,,,,,Ali Masimov,2016-03-27
Q5018584,Sabir Rüstəmxanlı,Sabir Rüstəmxanlı,Sabir Rustamkhanli,male,1946-05-20,,,21261716,https://upload.wikimedia.org/wikipedia/commons/a/a0/Sabir_Rüstəmxanlı_-_VOA.jpg,,,,,Sabir Rüstəmxanlı,Sabir Rustamkhanli,,,,Category:Sabir Rüstəmxanlı,,Sabir Rustamkhanli,,Sabir Rustamkhanli,,,Sabir Rustamkhanli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabir Rüstəmxanlı,,,,,,237174,,2016-03-27
Q5241284,Qənirə Paşayeva,Qənirə Paşayeva,Ganira Pashayeva,female,1975-03-24,,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Deputat_Qənirə_Paşayeva_Somalidə_-_VOA_-_02.jpg,/m/05zr7zp,,,,Qənirə Paşayeva,Ganira Pashayeva,"Пашаева, Ганира Алескер кызы",,,Category:Qənirə Paşayeva,"Пашаева, Ганира Алескер кызы",Ganira Pashayeva,,,Ganire Paşayeva,Ganira Pashayeva,Ganira Pashayeva,,Ganire Paşayeva,,قنیره پاشایوا,,,,,,,,,قنیره پاشایوا,,,,,,,,,,,,,,,,,,,,,,Qənirə Paşayeva,,,,,,,Ganira Pashayeva,2016-03-27
Q5366393,Elman Məmmədov,Elman Məmmədov,Elman Mammadov,male,1950-10-18,,,,,,,,,Elman Məmmədov,Elman Mammadov,,,,,,Elman Məmmədov,Elman Məmmədov,,,,Elman Mammadov,,,,,,,,,,,,,,,,,Elman Məmmədov,,,,,,,,,,,,,,,,,,Elman Məmmədov,,,,,,,,2016-03-27
Q5506881,Fuad Muradov,Fuad Muradov,Fuad Muradov,male,1979-07-22,Fuad,,,,,,,,Fuad Muradov,Fuad Muradov,,,,,,Fuad Muradov,Fuad Muradov,,,Fuad Muradov,Fuad Muradov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuad Muradov,,,,,,,,2016-03-27
Q57549,Vasif Talıbov,Vasif Talıbov,Vasif Talibov,male,1960-01-14,Vasif,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Vasif_Talibov_Chairman_of_the_Supreme_Majlis_of_Nakhchivan_AR.gif,/m/02qj45k,,,,Vasif Talıbov,Vasif Talibov,"Талыбов, Васиф Юсиф оглы",,,,"Талыбов, Васиф Юсиф оглы",Vasif Talibov,,Vasif Talıbov,Vasif Talıbov,Vasif Talibov,Vasif Talibov,,Vasıf Talibov,,وصیف طالبوف,,,,,,,,,واصف طالبوف,Vasif Talıbov,,,,,,,,,,Vasif Talıbov,,Vasif Talibov,Vasif Talibov,,,,,,,,Vasif Talıbov,,,,,,,Vasif Talibov,2016-03-27
Q6584988,Muxtar Babayev,Muxtar Babayev,,,1967,,,,,,,,,Muxtar Babayev,,,,,,,,,,Muhtar Babayev,,,,Muhtar Babayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muxtar Babayev,,,,,,,,2016-03-27
Q671930,Mehriban Əliyeva,Mehriban Əliyeva,Mehriban Aliyeva,female,1964-08-26,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Mehriban_Aliyeva07.JPG,/m/0d7qk2,http://www.mehriban-aliyeva.org,,,Mehriban Əliyeva,Mehriban Aliyeva,"Алиева, Мехрибан Ариф кызы",Մեհրիբան Ալիևա,Mehriban Əliyeva,Category:Mehriban Aliyeva,"Алиева, Мехрибан Ариф кызы",Mehriban Alieva,Mehriban Əliyeva,,Mehriban Aliyeva,Mehriban Aliyeva,Mehriban Aliyeva,,Mehriban Aliyeva,Mehriban Alijeva,مهربان علیوا,Mehriban Aliyeva,მეჰრიბან ალიევა,Mehriban Aliyeva,Mehriban Alijeva,梅赫里班·阿利耶娃,Мехрыбан Аліева,Мехрыбан Аліева,Mehriban Alijeva,مهربان علیوا,Mehriban Alieva,Մեհրիբան Ալիևա,Mehriban Aliyeva,Mehriban Əliyeva,მეჰრიბან ალიევა,Mehriban Aliyeva,Mehriban Əliyeva,Mehriban Əliyeva,梅赫里班·阿利耶娃,,,,,,,,,,,,,Mehriban Əliyeva,,,,,,,Mehriban Aliyeva,2016-03-27
Q7408438,Səməd Seyidov,Səməd Seyidov,Samad Seyidov,male,1964-01-18,Samad,,,,,,,,Səməd Seyidov,Samad Seyidov,,,,,,Samad Seyidov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Səməd Seyidov,,,,,,,,2016-03-27
Q7880869,Ülviyyə Həmzəyeva,Ülviyyə Həmzəyeva,Ulviyya Hamzayeva,female,1982,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Ulviyya_Hamzayeva.jpg,,,,,Ülviyyə Həmzəyeva,Ulviyya Hamzayeva,,,,,,Ulviyya Hamzayeva,,,,,Ulviyya Hamzayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ülviyyə Həmzəyeva,,,,,,,,2016-03-27
Q7908624,Vahid Əhmədov,Vahid Əhmədov,Vahid Ahmadov,male,1947-04-02,,,,,,,,,Vahid Əhmədov,Vahid Ahmadov,,,,,,Vahid Ahmadov,,,,,Vahid Ahmadov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vahid Əhmədov,,,,,,,,2016-03-27
Q8053080,Yevda Abramov,Yevda Abramov,Yevda Abramov,male,1948-06-12,,,,,,,,,Yevda Abramov,Yevda Abramov,"Абрамов, Евда Сасунович",,,,"Абрамов, Евда Сасунович",Abramov Yevda Sasunoviç,,Yevda Abramov,,Yevda Abramov,Yevda Abramov,Yevda Abramov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yevda Abramov,,,,,,,,2016-03-27
