id,name__en,name__zh,name,wikipedia__commons,wikipedia__zh,original_wikiname,gender,birth_date,image,name__zh_tw,name__nan,wikipedia__zh_min_nan,family_name,name__fr,name__es,name__zh_hant,name__hu,name__nl,wikipedia__en,identifier__VIAF,identifier__NCL,name__ru,identifier__ISNI,identifier__LCAuth,identifier__NLA,wikipedia__es,wikipedia__zhwikiquote,name__ja,wikipedia__ja,facebook,name__zh_hans,name__zh_hk,name__id,name__vi,name__de,name__nds,name__vmf,name__en_ca,name__en_gb,name__ko,name__pl,wikipedia__de,wikipedia__id,wikipedia__pl,wikipedia__vi,identifier__freebase,name__oc,name__it,wikipedia__fr,given_name,wikipedia__ko,name__tr,identifier__BNF,identifier__SUDOC,identifier__IMDB,wikipedia__it,electoral_district,name__yue,wikipedia__ru,wikipedia__zh_yue,name__wuu,wikipedia__enwikiquote,wikipedia__wuu,name__zh_cn,name__zh_mo,name__zh_my,name__zh_sg,name__sv,name__et,wikipedia__et,wikipedia__sv,wikipedia__tr,identifier__FAST,identifier__MusicBrainz,name__cdo,wikipedia__cdo,name__gan_hans,name__gan_hant,name__gan,wikipedia__gan,name__ca,name__pt,name__nb,wikipedia__ca,wikipedia__no,wikipedia__pt
Q710060,"Huang Chih-hsiung","黃志雄","黃志雄",,"黃志雄","Huang Chih-hsiung",male,1976-10-16,https://upload.wikimedia.org/wikipedia/commons/1/17/2007NewYearHopeWalking-CHHuang.jpg,,,,,"Huang Chih-hsiung","Huang Chih-hsiung","黃志雄",,"Huang Chih-hsiung","Huang Chih-hsiung",,,"Хуан Чжисюн",,,,"Huang Chih-Hsiung",,,,,"黄志雄","黃志雄",,,,,,,,,"Huang Chih-hsiung",,,"Huang Chih-hsiung",,/m/03yz0y,,,"Huang Chih-hsiung",,,,,,,,,,"Хуан Чжисюн",,,,,,,,,,,,,,,,,,,,,,"Huang Chih-hsiung","Huang Chih-Hsiung","Huang Chih-hsiung","Huang Chih-hsiung","Huang Chih-hsiung","Huang Chih-Hsiung"
Q7198343,"Chen Ying","陳瑩","陳瑩","Category:Chen Ying","陳瑩 (政治人物)","陳瑩 (政治人物)",female,1972-11-15,,,"Tân Êng","Tân Êng",Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8270063,"Huang Chao-shun","黃昭順","黃昭順","Category:Huang Chao-shun","黃昭順","Huang Chao-shun",female,1953-08-22,https://upload.wikimedia.org/wikipedia/commons/a/a2/Huang_Chao-shun.jpg,,,,,"Huang Chao-shun","Huang Chao-shun",,"Huang Chao-shun",,"Huang Chao-shun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8272537,,"林正二","林正二",,"林正二","林正二",,1952-01-02,,,,,Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8272659,"Chin-piao Yen","顏清標","顏清標",,"顏清標","顏清標",,1960-08-25,https://upload.wikimedia.org/wikipedia/commons/f/f5/2008FUSE_TaipeiPressConference_Chin-piao_Yen.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8272916,,"鄭汝芬","鄭汝芬",,"鄭汝芬","鄭汝芬",female,1957-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8272933,,"陳鎮湘","陳鎮湘","Category:Chen Chen-hsiang","陳鎮湘","陳鎮湘",,1942-10-10,,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8272967,,"蔡正元","蔡正元","Category:Alex Tsai","蔡正元","蔡正元",,1953-12-25,,,,,Cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273045,"Apollo Chen","陳學聖","陳學聖","Category:Apollo Chen","陳學聖","Apollo Chen",male,1957-09-28,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shei-Saint_Chen_from_VOA.jpg,,"Tân Ha̍k-sèng","Tân Ha̍k-sèng",Chen,,,"陳學聖",,,"Apollo Chen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0618945-1177-4356-8a86-9ca798d15883,,,,,,,,,,,,
Q8273082,,"陳雪生","陳雪生","Category:Chen Hsuen-sheng","陳雪生","陳雪生",male,1952-01-01,,"陳雪生",,,Chen,,,"陳雪生",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dìng Siók-sĕng","Dìng Siók-sĕng",,,,,,,,,,
Q8273115,,"張慶忠","張慶忠","Category:Chang Ching-chung","張慶忠","張慶忠",,1951-12-14,,,,,Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273132,,"張麗善","張麗善","Category:Chang Li-shan","張麗善","張麗善",female,1964-01-01,,,,,Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273168,,"蔡錦隆","蔡錦隆","Category:Cai Jin-long","蔡錦隆","蔡錦隆",,1958-03-01,"https://upload.wikimedia.org/wikipedia/commons/5/51/蔡錦隆.JPG",,,,Cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273222,,"陳根德","陳根德",,"陳根德","陳根德",,1956-11,,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273248,,"陳超明","陳超明","Category:Chen Chao-ming","陳超明","陳超明",,1951-12-17,,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8273289,,"丁守中","丁守中",,"丁守中","丁守中",male,1954-09-01,https://upload.wikimedia.org/wikipedia/commons/7/77/Ting_Shou-chung_from_VOA_(2).jpg,,,,Ding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274029,"Hung Hsiu-chu","洪秀柱","洪秀柱","Category:Hung Hsiu-chu","洪秀柱","Hung Hsiu-chu",female,1948-04-07,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hung_Shiu-chu.jpg,"洪秀柱","Âng Siù-thiāu","Âng Siù-thiāu",Hong,"Hung Hsiu-chu","Hung Hsiu-chu","洪秀柱","Hung Hsiu-chu","Hung Hsiu-chu","Hung Hsiu-chu",,,"Хун Сючжу",,,,,,"洪秀柱","洪秀柱",,"洪秀柱","洪秀柱",,,"Hung Hsiu-chu",,,,,"홍수주",,"Hung Hsiu-chu",,,,,,,"Hung Hsiu-chu",,,,,,,,,"洪秀柱",,"洪秀柱","洪秀柱","Hung Hsiu-chu","洪秀柱",,,,,,,,,,,,,,,,,,,,,,,
Q8274088,"Hsieh Kuo-liang","謝國樑","謝國樑",,"謝國樑","Hsieh Kuo-liang",male,1975-10-05,,,,,,"Hsieh Kuo-liang","Hsieh Kuo-liang",,"Hsieh Kuo-liang",,"Hsieh Kuo-liang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274144,"Chiang Nai-shin","蔣乃辛","蔣乃辛",,"蔣乃辛","Chiang Nai-shin",male,1948-09-24,,,,,Jiang,,,,,,"Chiang Nai-shin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274185,"Chien Tung-ming","簡東明","簡東明",,"簡東明","Chien Tung-ming",male,1951-06-04,,,,,,,,,,,"Chien Tung-ming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274205,,"江惠貞","江惠貞","Category:Chiang Huei-chen","江惠貞","江惠貞",female,1963-01-28,"https://upload.wikimedia.org/wikipedia/commons/e/e5/江惠貞AED公益推廣.JPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274214,"Chi Kuo-tung","紀國棟","紀國棟","Category:Chi Kuo-tung","紀國棟","紀國棟",male,1960-05-16,https://upload.wikimedia.org/wikipedia/commons/3/36/Chi_Kuo-tung_by_VOA.jpg,,"Kí Kok-tòng","Kí Kok-tòng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274261,,"孔文吉","孔文吉","Category:Yosi Takun","孔文吉","孔文吉",male,1957-10-18,https://upload.wikimedia.org/wikipedia/commons/a/ad/2008_Taipei_In_Style_Press_Conference_Youxi_Dagun.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274333,"Lin Ming-chen","林明溱","林明溱","Category:Lin Ming-chen","林明溱","Lin Ming-chen",male,1951-02-13,,,,,Lin,"Lin Ming-chen",,,,,"Lin Ming-chen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274398,,"廖國棟","廖國棟","Category:Sufin Siluko","廖國棟","廖國棟",,1955-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274436,"Lin Hung-chih","林鴻池","林鴻池","Category:Lin Hung-chih","林鴻池","Lin Hung-chih",male,1955-08-22,,,,,Lin,,,,,,"Lin Hung-chih",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274707,,"盧秀燕","盧秀燕","Category:Lu Shiow-yen","盧秀燕","盧秀燕",female,1961-08-31,https://upload.wikimedia.org/wikipedia/commons/b/bc/Lu_Shiow-yen_from_VOA.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274933,,"呂學樟","呂學樟",,"呂學樟","呂學樟",male,1952-11-05,https://upload.wikimedia.org/wikipedia/commons/0/00/Voa_chinese_Lu_Hsueh-chang_13may09.jpg,,,,"Lü",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8274946,,"廖正井","廖正井",,"廖正井","廖正井",male,1945-01-08,https://upload.wikimedia.org/wikipedia/commons/a/ae/Liao_Cheng-ching.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275026,"Lee Ching-hua","李慶華","李慶華","Category:Lee Ching-hua","李慶華","Lee Ching-hua",male,1948-12-03,https://upload.wikimedia.org/wikipedia/commons/4/42/Lee_Ching-hua.jpg,,,,Li,"Lee Ching-hua","Lee Ching-hua","李慶華",,"Lee Ching-hua","Lee Ching-hua",,,"Ли Чинхуа",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275115,,"李鴻鈞","李鴻鈞","Category:Lee Hung-chun","李鴻鈞 (立委)","李鴻鈞 (立委)",male,1959-05-11,https://upload.wikimedia.org/wikipedia/commons/4/4f/Lee_Hung-chun_2012.jpg,,,,Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275203,,"林德福","林德福","Category:Lin Te-fu","林德福 (立法委員)","林德福 (立法委員)",,1953-10-23,,,,,Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275291,,"林滄敏","林滄敏","Category:Lin Tsang-min","林滄敏","林滄敏",male,1958-01-01,"https://upload.wikimedia.org/wikipedia/commons/1/12/林滄敏.jpg","林滄敏",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275440,,"盧嘉辰","盧嘉辰",,"盧嘉辰","盧嘉辰",male,1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275466,,"羅明才","羅明才","Category:Lo Ming-tsai","羅明才","羅明才",,1967-01-15,https://upload.wikimedia.org/wikipedia/commons/e/e3/2008JinShiMarathon_Ming-tsai_Lo.jpg,,,,Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275467,,"羅淑蕾","羅淑蕾","Category:Lo Shu-Lei","羅淑蕾","羅淑蕾",female,1952-11-28,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lo_Shu-Lei_from_VOA_(2).jpg,,"Lô Siok-lúi","Lô Siok-lúi",Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275493,"Lai Shyh-bao","赖士葆","赖士葆","Category:Lai Shih-bao","赖士葆","Lai Shyh-bao",male,1951-06-20,"https://upload.wikimedia.org/wikipedia/commons/3/33/國民黨團政策會執行長賴士葆_(cropped).JPG",,,,,"Lai Shyh-bao","Lai Shyh-bao","賴士葆","Lai Shyh-bao","Lai Shyh-bao","Lai Shyh-bao",315952194,000001042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8275781,,"潘維剛","潘維剛","Category:Pan Wei-kang","潘維剛","潘維剛",female,1957-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8276552,,"徐少萍","徐少萍",,"徐少萍","徐少萍",female,,,,,,Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8276570,"Hsu Yao-chang","徐耀昌","徐耀昌","Category:Hsu Yao-chang","徐耀昌","Hsu Yao-chang",male,1955-06-30,https://upload.wikimedia.org/wikipedia/commons/e/e6/Hsu_Yao-chang.jpg,,,,Xu,"Hsu Yao-chang",,,,,"Hsu Yao-chang",,,,,,,,,"徐耀昌",,,,,,,,,,,,"서요창",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8277043,,"王進士","王進士",,"王進士","王進士",male,1948-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8277229,,"吳育昇","吳育昇",,"吳育昇","吳育昇",male,1958-12-01,"https://upload.wikimedia.org/wikipedia/commons/6/69/立法院辦公室一隅.JPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8277261,"John Wu","吳志揚","吳志揚","Category:John Wu (politician)","吳志揚 (政治人物)","John Wu (politician)",male,1969,"https://upload.wikimedia.org/wikipedia/commons/7/7b/桃園縣長吳志揚.JPG",,,,,"John Wu","John Wu",,"John Wu",,"John Wu (politician)",,,,,,,,,,,,,,,,"John Wu",,,,,,,,,,,,,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8277631,,"王廷升","王廷升",,"王廷升","王廷升",,1965-06-30,,,,,Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8278346,,"楊麗環","楊麗環","Category:Yang Li-huan","楊麗環","楊麗環",female,1957-05-01,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Yang,Li-Huan.jpg",,,,Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8278747,"Yang Yu-xing","楊玉欣","楊玉欣","Category:Yang Yu-hsin","楊玉欣","楊玉欣",female,1974-12-31,"https://upload.wikimedia.org/wikipedia/commons/3/3c/國民黨立委楊玉欣.jpg","楊玉欣",,,Yang,"Yang Yu-xing",,"楊玉欣",,"Yang Yu-xing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8278752,"Yang Chiung-ying","楊瓊瓔","楊瓊瓔","Category:Yang Chiung-ying","楊瓊瓔","Yang Chiung-ying",female,1964-10-19,https://upload.wikimedia.org/wikipedia/commons/e/e8/Yang_Chiung-ying.jpg,,,,Yang,,,,,,"Yang Chiung-ying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8278820,,"顏寬恒","顏寬恒","Category:Yen Kuan-heng","顏寬恒","顏寬恒",male,1977-09-14,https://upload.wikimedia.org/wikipedia/commons/0/03/Dajia_Jenn_Jann_Temple_from_VOA_(2)_(cropped).jpg,,"Gân Khoan-hông","Gân Khoan-hông",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279212,,"張嘉郡","張嘉郡","Category:Chang Chia-chun","張嘉郡","張嘉郡",female,1981-01-10,https://upload.wikimedia.org/wikipedia/commons/6/62/Chang_Chia-chun.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279427,"Wu Yu-jen","吳育仁","吳育仁","Category:Wu Yu-jen","吳育仁","Wu Yu-jen",male,1969,https://upload.wikimedia.org/wikipedia/commons/e/ea/Wu_Yu-Jen.jpg,,,,,,"Wu Yu-jen",,"Wu Yu-jen",,"Wu Yu-jen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279442,,"孫大千","孫大千",,"孫大千","孫大千",male,1969-08-28,https://upload.wikimedia.org/wikipedia/commons/4/43/A15A00_P_03_01.jpg,,,,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279533,"Lin, Kuo-Cheng","林國正","林國正",,"林國正","林國正",,1966-11-26,,,,,Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279603,"Johnny Chiang","江啟臣","江啟臣","Category:Johnny Chi-Chen Chiang","江啟臣","Johnny Chiang",male,1972-03-02,https://upload.wikimedia.org/wikipedia/commons/b/b8/Johnny_Chi-Chen_Chiang.jpg,,,,,,,,,,"Johnny Chiang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279684,"Wang Huei-mei","王惠美","王惠美","Category:Wang Huei-mei","王惠美","王惠美",female,1968-11-22,,,,,Wang,"Wang Huei-mei","Wang Huei-mei",,"Wang Huei-mei",,"Wang Huei-mei",,,,,,,,,"王恵美",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279711,,"王育敏","王育敏","Category:Wang Yu-min","王育敏","王育敏",female,1971-04-11,https://upload.wikimedia.org/wikipedia/commons/0/09/Wang_Yu-min.jpg,,,,Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279815,"Chiau Wen-Yan","邱文彥","邱文彥","Category:Chiau Wen-yan","邱文彥","邱文彥",male,1953-07-17,https://upload.wikimedia.org/wikipedia/commons/7/7b/Chiau_Wen-Yan.jpg,,,,Qiu,"Chiau Wen-Yan","Chiau Wen-Yan",,,,"Chiau Wen-yan",38245067,,,,,,"Chiau Wen-Yan",,"邱文彦","邱文彦",,,,,,"Chiau Wen-Yan",,,,,,,"Chiau Wen-Yan",,,,,,,"Chiau Wen-Yan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8279858,"Ma Wen-chun","馬文君","馬文君","Category:Ma Wen-chun","馬文君","Ma Wen-chun",female,1965-12-01,https://upload.wikimedia.org/wikipedia/commons/c/c2/Wen-Chun_Ma_from_VOA.jpg,,,,Ma,"Ma Wen-chun","Ma Wen-chun",,"Ma Wen-chun",,"Ma Wen-chun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347281,,"陳節如","陳節如","Category:Chen Chieh-ju","陳節如","陳節如",female,1944-03-03,,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347319,,"張廖萬堅","張廖萬堅","Category:Chang Liao Wan-chien","張廖萬堅","張廖萬堅",male,1965-02-09,"https://upload.wikimedia.org/wikipedia/commons/c/c7/張廖萬堅.JPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347574,,"李俊俋","李俊俋","Category:Lee Chun-yi","李俊俋","李俊俋",,1965-07-06,"https://upload.wikimedia.org/wikipedia/commons/c/c5/李俊俋.JPG",,,,Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347638,,"蔡適應","蔡適應","Category:Tsai Shih-ying","蔡適應","蔡適應",,1973-06-14,https://upload.wikimedia.org/wikipedia/commons/0/0e/Tsai_Shih-Ying--by_Ring_Chang.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347665,,"趙天麟","趙天麟","Category:Chao Tien-lin","趙天麟 (臺灣)","趙天麟 (臺灣)",male,1973-03-08,,,,,Zhao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347718,"Chiu Chi-wei","邱志偉","邱志偉","Category:Chiu Chih-wei","邱志偉 (政治人物)","Chiu Chih-wei",male,1972-07-24,,,,,Qiu,,,,,,"Chiu Chih-wei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kaohsiung City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347775,"Chiu Yi-ying","邱議瑩","邱議瑩","Category:Chiu Yi-ying","邱議瑩","邱議瑩",female,1971-06-01,https://upload.wikimedia.org/wikipedia/commons/b/b2/Chiu_Yi-Ying_from_VOA.jpg,,"Khu Gī-êng","Khu Gī-êng",Qiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347820,"Chen Ting-fei","陳亭妃","陳亭妃","Category:Chen Ting-fei","陳亭妃","Chen Ting-fei",female,1974-07-19,https://upload.wikimedia.org/wikipedia/commons/5/59/DPP_member_Chen_Ting-Fei.jpg,,,,Chen,"Chen Ting-fei","Chen Ting-fei",,"Chen Ting-fei","Chen Ting-fei","Chen Ting-fei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8347997,"Chen, Ou-Po","陳歐珀","陳歐珀","Category:Chen Ou-po","陳歐珀","陳歐珀",,1962-10-12,https://upload.wikimedia.org/wikipedia/commons/7/7d/Chen_Ou-po.jpg,,,,Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348328,,"郭正亮","郭正亮",,"郭正亮","郭正亮",,1961-06-24,https://upload.wikimedia.org/wikipedia/commons/a/aa/VOA_Chinese_JulianCLKuo_14Feb12_300.jpg,,,,Guo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348463,"Gao Jyh-peng","高志鵬","高志鵬","Category:Gao Jyh-peng","高志鵬","高志鵬",male,1963-08-08,https://upload.wikimedia.org/wikipedia/commons/3/3b/Gao_Jyh-peng_from_VOA_(2).jpg,,"Ko Chì-pêng","Ko Chì-pêng",Gao,,,,,,,,,,,,,,"高志鵬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348653,"Huang Wei-cher","黃偉哲","黃偉哲","Category:Huang Wei-cher","黃偉哲","黃偉哲",male,1963-09-26,https://upload.wikimedia.org/wikipedia/commons/2/20/Huang_Wei-cher_from_VOA.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348788,"Ho Hsin-chun","何欣純","何欣純","Category:Ho Hsin-chun","何欣純","Ho Hsin-chun",female,1973-12-18,https://upload.wikimedia.org/wikipedia/commons/c/cc/Ho_Hsin-chun.jpg,,"Hô Him-sûn","Hô Him-sûn",He,"Ho Hsin-chun","Ho Hsin-chun",,"Ho Hsin-chun",,"Ho Hsin-chun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348841,,"徐國勇","徐國勇",,"徐國勇","徐國勇",,1958-06-07,https://upload.wikimedia.org/wikipedia/commons/6/6a/Hsu_Kuo-Yung-02_-_by_Zil_Chang.jpg,,"Chhî Kok-ióng","Chhî Kok-ióng",Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8348951,"Hsueh Ling","薛凌","薛凌",,"薛凌","Hsueh Ling",female,1954,,,,,Xue,"Hsueh Ling","Hsueh Ling",,"Hsueh Ling",,"Hsueh Ling",,,,,,,,,,,,,,,,"Hsueh Ling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
